,Departamento,Capital,Barrio,long,lat
0,CAUCA,POPAYÁN (CT),LA ESMERALDA,-76.6157824,2.4437838
2,CAUCA,POPAYÁN (CT),PUEBLILLO,-76.58334359999999,2.4474655
3,CAUCA,POPAYÁN (CT),BELLO HORIZONTE,-76.5666658,2.4875597999999997
4,CAUCA,POPAYÁN (CT),BOLIVAR,-76.5682152,2.482613
5,CAUCA,POPAYÁN (CT),CENTRO,-76.6068453,2.4403108
6,CAUCA,POPAYÁN (CT),VEREDA JULUMITO,-76.632552,2.51263
11,CAUCA,POPAYÁN (CT),EL MIRADOR,-76.6290552,2.4453119
12,CAUCA,POPAYÁN (CT),ANTONIO NARIÑO,-76.58313289934125,2.4770409
13,CAUCA,POPAYÁN (CT),BELEN,-76.59945184960729,2.43934655
14,CAUCA,POPAYÁN (CT),SOLIDARIDAD,-76.62709,2.4416067000000004
15,CAUCA,POPAYÁN (CT),CADILLAL,-76.6122031,2.4466107000000004
16,CAUCA,POPAYÁN (CT),LA ALDEA,-76.5630857,2.4908612999999997
17,CAUCA,POPAYÁN (CT),YANACONAS,-76.5866911,2.4561017000000005
18,CAUCA,POPAYÁN (CT),CAMPAMENTO,-76.6084744,2.4453755
19,CAUCA,POPAYÁN (CT),POMONA,-76.59505190000002,2.44838565
20,CAUCA,POPAYÁN (CT),LOS SAUCES,-76.6025645,2.4292111000000003
22,CAUCA,POPAYÁN (CT),ALFONSO LOPEZ,-76.6067037,2.4335217
23,CAUCA,POPAYÁN (CT),MARIA OCCIDENTE,-76.6321225,2.4545215
25,CAUCA,POPAYÁN (CT),RETIRO ALTO,-76.62266829882215,2.43979385
27,CAUCA,POPAYÁN (CT),JUNIN,-76.6240543,2.4532380000000003
28,CAUCA,POPAYÁN (CT),1RO DE MAYO,-76.6062744,2.4420181
31,CAUCA,POPAYÁN (CT),MARIA ORIENTE,-76.6011348,2.4305671
34,CAUCA,POPAYÁN (CT),EL EMPEDRADO,-76.60560865771947,2.43848075
35,CAUCA,POPAYÁN (CT),LA SOMBRILLA,-76.6270745,2.4505696
38,CAUCA,POPAYÁN (CT),BELLA VISTA,-76.6251094,2.5004508
44,CAUCA,POPAYÁN (CT),VALENCIA,-76.61274190000002,2.4423882999999997
45,CAUCA,POPAYÁN (CT),AIDA LUCIA,-76.58277199999999,2.4601226
46,CAUCA,POPAYÁN (CT),LA PAMBA,-76.6012877,2.4414898999999997
47,CAUCA,POPAYÁN (CT),CAMILO TORRES,-76.62236309999999,2.4495665
48,CAUCA,POPAYÁN (CT),LOMA DE CARTAGENA,-76.60224529999999,2.4392217
50,CAUCA,POPAYÁN (CT),COLINA CAMPESTRE,-76.58545790000001,2.4505151
