,Departamento,Capital,Barrio,long,lat
4,GUAJIRA,RIOHACHA (CT),CENTRO,-72.90697840000001,11.544634
5,GUAJIRA,RIOHACHA (CT),ARRIBA,-72.90472443318954,11.55164035
7,GUAJIRA,RIOHACHA (CT),PADILLA,-72.9183328107018,11.5271125
11,GUAJIRA,RIOHACHA (CT),EL ACUEDUCTO,-72.91039975,11.53289155
14,GUAJIRA,RIOHACHA (CT),JOSE ANTONIO GALAN,-72.92218829999999,11.545013699999998
15,GUAJIRA,RIOHACHA (CT),LA LOMA,-72.9094157,11.5315567
16,GUAJIRA,RIOHACHA (CT),LUIS EDUARDO CUELLAR,-72.90339329999999,11.5373527
17,GUAJIRA,RIOHACHA (CT),LOS OLIVOS,-72.91659279999999,11.5303575
18,GUAJIRA,RIOHACHA (CT),EURARE,-72.90338089372743,11.52959155
20,GUAJIRA,RIOHACHA (CT),LOS CEREZOS,-72.90697840000001,11.544634
21,GUAJIRA,RIOHACHA (CT),ENTRERIOS,-72.90241699211415,11.5329442
22,GUAJIRA,RIOHACHA (CT),JOSE ARNOLDO MARIN,-72.91198399999999,11.534006199999999
24,GUAJIRA,RIOHACHA (CT),LA COSECHA,-72.9160021,11.5255306
26,GUAJIRA,RIOHACHA (CT),COQUIVACOA,-72.9205355731847,11.54133375
27,GUAJIRA,RIOHACHA (CT),SAN MARTIN DE LOBA,-72.91937407570721,11.53835355
28,GUAJIRA,RIOHACHA (CT),LA LUCHA,-72.91334976020777,11.50936975
32,GUAJIRA,RIOHACHA (CT),COOPERATIVO,-72.92398299999999,11.5389315
35,GUAJIRA,RIOHACHA (CT),LOS NOGALES,-72.90697840000001,11.544634
36,GUAJIRA,RIOHACHA (CT),SIMON BOLIVAR,-72.91461340000001,11.5483637
46,GUAJIRA,RIOHACHA (CT),BOCAGRANDE,-72.90697840000001,11.544634
54,GUAJIRA,RIOHACHA (CT),MATAJUNA,-72.91923100000001,11.5327668
63,GUAJIRA,RIOHACHA (CT),BUGANVILLA,-72.8993521,11.5296661
73,GUAJIRA,RIOHACHA (CT),NUEVO MILENIO,-72.92058459999998,11.5246167
74,GUAJIRA,RIOHACHA (CT),SAN RAFAEL,-72.90706403885116,11.5407892
96,GUAJIRA,RIOHACHA (CT),SAN ISIDRO,-72.90697840000001,11.544634
105,GUAJIRA,RIOHACHA (CT),LA MARINA,-72.90697840000001,11.544634
110,GUAJIRA,RIOHACHA (CT),IGUARAYA,-72.90622725197552,11.553185000000001
118,GUAJIRA,RIOHACHA (CT),APUNIMANA,-72.90155329999999,11.515326
125,GUAJIRA,RIOHACHA (CT),DIVINO NIÑO,-72.9120878501057,11.5303684
127,GUAJIRA,RIOHACHA (CT),IPC,-72.9240353,11.530926800000001
139,GUAJIRA,RIOHACHA (CT),LA UNION,-72.90913379999999,11.5084303
146,GUAJIRA,RIOHACHA (CT),LOS TRUPILLOS,-72.90452394202194,11.5052748
149,GUAJIRA,RIOHACHA (CT),SAN JOSE,-72.90697840000001,11.544634
157,GUAJIRA,RIOHACHA (CT),SAN ANTONIO,-72.90697840000001,11.544634
