,Departamento,Capital,Barrio,long,lat
0,SANTANDER,BUCARAMANGA (CT),CHAPINERO,-73.1328675,7.1397802
1,SANTANDER,BUCARAMANGA (CT),LA AURORA,-73.11728690000002,7.111461099999999
2,SANTANDER,BUCARAMANGA (CT),LA JUVENTUD,-73.11543565406022,7.13610435
3,SANTANDER,BUCARAMANGA (CT),LA CONCORDIA,-73.1183860925142,7.1134492
4,SANTANDER,BUCARAMANGA (CT),CENTRO,-73.11728690000002,7.111461099999999
5,SANTANDER,BUCARAMANGA (CT),COMUNEROS,-73.1180723,7.125935000000001
6,SANTANDER,BUCARAMANGA (CT),ALFONSO LOPEZ,-73.1172328680868,7.13656475
7,SANTANDER,BUCARAMANGA (CT),DIAMANTE II,-73.1105553,7.0953756
8,SANTANDER,BUCARAMANGA (CT),EL PRADO,-73.11728690000002,7.111461099999999
9,SANTANDER,BUCARAMANGA (CT),PROVENZA,-73.10895740285633,7.0902803
10,SANTANDER,BUCARAMANGA (CT),LA UNIVERSIDAD,-73.12411506093912,7.1383193
11,SANTANDER,BUCARAMANGA (CT),SOTOMAYOR,-73.11208456805099,7.11650465
12,SANTANDER,BUCARAMANGA (CT),RICAURTE,-73.11728690000002,7.111461099999999
13,SANTANDER,BUCARAMANGA (CT),URB. MACAREGUA,-73.12009538210404,7.10546205
14,SANTANDER,BUCARAMANGA (CT),PUERTA DEL SOL,-73.11344809999999,7.1063731
15,SANTANDER,BUCARAMANGA (CT),TERRAZAS,-73.1062040470302,7.1127457
16,SANTANDER,BUCARAMANGA (CT),MORRORICO,-73.10621130060187,7.13293145
17,SANTANDER,BUCARAMANGA (CT),LA INDEPENDENCIA,-73.11728690000002,7.111461099999999
18,SANTANDER,BUCARAMANGA (CT),EL ROCIO,-73.12055820330005,7.08428405
19,SANTANDER,BUCARAMANGA (CT),MEJORAS PUBLICAS,-73.11527093107614,7.12092405
20,SANTANDER,BUCARAMANGA (CT),GIRARDOT,-73.13441388862023,7.1223068000000005
21,SANTANDER,BUCARAMANGA (CT),KENNEDY,-73.1341995,7.1528636
22,SANTANDER,BUCARAMANGA (CT),LOS PINOS,-73.11728690000002,7.111461099999999
23,SANTANDER,BUCARAMANGA (CT),LA SALLE,-73.1141932853114,7.1005642999999985
24,SANTANDER,BUCARAMANGA (CT),MUTIS,-73.12345759295813,7.1062311000000005
25,SANTANDER,BUCARAMANGA (CT),LA JOYA,-73.11728690000002,7.111461099999999
26,SANTANDER,BUCARAMANGA (CT),MERCEDES,-73.11846952578179,7.1365548
27,SANTANDER,BUCARAMANGA (CT),CONUCOS,-73.11090682062355,7.106890299999999
28,SANTANDER,BUCARAMANGA (CT),INEM,-73.1189958,7.08515
29,SANTANDER,BUCARAMANGA (CT),EL CRISTAL,-73.11779926417722,7.07826875
30,SANTANDER,BUCARAMANGA (CT),GALAN,-73.1291073,7.117574799999999
31,SANTANDER,BUCARAMANGA (CT),MODELO,-73.13286156384345,7.11113885
32,SANTANDER,BUCARAMANGA (CT),LA CEIBA,-73.11728690000002,7.111461099999999
33,SANTANDER,BUCARAMANGA (CT),LAS DELICIAS,-73.11728690000002,7.111461099999999
34,SANTANDER,BUCARAMANGA (CT),DIAMANTE I,-73.1105553,7.0953756
35,SANTANDER,BUCARAMANGA (CT),LA FLORA,-73.1080985412454,7.1054333
36,SANTANDER,BUCARAMANGA (CT),SANTANDER,-73.12906120000002,7.1252897
37,SANTANDER,BUCARAMANGA (CT),EL TEJAR,-73.0998775,7.0939391
38,SANTANDER,BUCARAMANGA (CT),NAPOLES,-73.11728690000002,7.111461099999999
39,SANTANDER,BUCARAMANGA (CT),PORTAL DEL CACIQUE,-73.10249125415315,7.0995240000000015
40,SANTANDER,BUCARAMANGA (CT),CENTAUROS,-73.12916094694208,7.1128227
41,SANTANDER,BUCARAMANGA (CT),BOSCONIA,-73.1143814726583,7.15332255
42,SANTANDER,BUCARAMANGA (CT),NARIÑO,-73.1175589,7.1245532
43,SANTANDER,BUCARAMANGA (CT),LAURELES,-73.12906290000002,7.1041785000000015
44,SANTANDER,BUCARAMANGA (CT),EL ROSAL,-73.11728690000002,7.111461099999999
45,SANTANDER,BUCARAMANGA (CT),LA LIBERTAD,-73.0971142,7.097512400000001
46,SANTANDER,BUCARAMANGA (CT),HACIENDA DEL CACIQUE,-73.1024592223591,7.10184575
47,SANTANDER,BUCARAMANGA (CT),PALMERAS DEL CACIQUE,-73.10019151625289,7.09898385
48,SANTANDER,BUCARAMANGA (CT),METROPOLITANA,-73.12259013824728,7.11903195
49,SANTANDER,BUCARAMANGA (CT),CAMILO TORRES,-73.1214218790321,7.1403362500000025
50,SANTANDER,BUCARAMANGA (CT),LOS ROBLES,-73.11728690000002,7.111461099999999
51,SANTANDER,BUCARAMANGA (CT),EL RETIRO,-73.11728690000002,7.111461099999999
52,SANTANDER,BUCARAMANGA (CT),URB. FATIMA,-73.1010180759814,7.0955226
53,SANTANDER,BUCARAMANGA (CT),PALERMO,-73.1196242,7.1075873
54,SANTANDER,BUCARAMANGA (CT),LOS CEDROS,-73.11728690000002,7.111461099999999
55,SANTANDER,BUCARAMANGA (CT),LA ROSITA,-73.1220886,7.1126307
56,SANTANDER,BUCARAMANGA (CT),PRADO,-73.11728690000002,7.111461099999999
57,SANTANDER,BUCARAMANGA (CT),VDA. LA ESPERANZA,-73.11728690000002,7.111461099999999
58,SANTANDER,BUCARAMANGA (CT),FATIMA,-73.1010180759814,7.0955226
