,Departamento,Capital,Barrio,long,lat
0,SUCRE,SINCELEJO (CT),20 DE JULIO,-75.4022711,9.3059149
1,SUCRE,SINCELEJO (CT),PIONEROS,-75.40813790000001,9.291913699999998
2,SUCRE,SINCELEJO (CT),LA TERRAZA,-75.4021752,9.292324
3,SUCRE,SINCELEJO (CT),CENTRO,-75.39531840000002,9.303544
4,SUCRE,SINCELEJO (CT),CALLE LA PAJUELA,-75.3973938,9.3027375
5,SUCRE,SINCELEJO (CT),BOTERO,-75.4003622,9.3162291
6,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,-75.38952309999998,9.3035088
7,SUCRE,SINCELEJO (CT),EL BOSQUE,-75.3891072,9.308572300000002
8,SUCRE,SINCELEJO (CT),PALERMO,-75.3860196,9.302891699999998
9,SUCRE,SINCELEJO (CT),CARIBE,-75.40140490000002,9.2874475
10,SUCRE,SINCELEJO (CT),CIUDADELA SUIZA,-75.40222259999999,9.2968235
11,SUCRE,SINCELEJO (CT),SAN CARLOS,-75.4034813,9.3074855
12,SUCRE,SINCELEJO (CT),BOSTON,-75.3793448,9.3007097
13,SUCRE,SINCELEJO (CT),LAS MERCEDES,-75.39239429999998,9.2897669
14,SUCRE,SINCELEJO (CT),20 DE ENERO,-75.4105936,9.2782361
15,SUCRE,SINCELEJO (CT),LA BASTILLA,-75.4020439,9.2937901
16,SUCRE,SINCELEJO (CT),LOS LIBERTADORES,-75.40060749999998,9.3022508
17,SUCRE,SINCELEJO (CT),SEVILLA,-75.40481120000003,9.3087561
18,SUCRE,SINCELEJO (CT),VILLA  MADY,-75.3900877,9.285880300000002
19,SUCRE,SINCELEJO (CT),EL MAIZAL,-75.409824,9.275877
20,SUCRE,SINCELEJO (CT),SIERRA FLOR,-75.4000148,9.3257788
21,SUCRE,SINCELEJO (CT),FORD,-75.3970817,9.3083591
22,SUCRE,SINCELEJO (CT),MAJAGUAL,-75.39776640000002,9.2902199
23,SUCRE,SINCELEJO (CT),EL CORTIJO,-75.4051632,9.286210699999998
24,SUCRE,SINCELEJO (CT),VERSALLES,-75.39915450000002,9.3111744
25,SUCRE,SINCELEJO (CT),MOCHILA,-75.39961059999997,9.299675
26,SUCRE,SINCELEJO (CT),LA TRINIDAD,-75.3830885,9.2911498
27,SUCRE,SINCELEJO (CT),EL SOCORRO,-75.381041,9.3052716
28,SUCRE,SINCELEJO (CT),SAN LUIS,-75.4015891,9.3139544
29,SUCRE,SINCELEJO (CT),URB. UNIVERSAL,-75.3934344,9.31621
30,SUCRE,SINCELEJO (CT),LAS DELICIAS,-75.40109079999998,9.284956
31,SUCRE,SINCELEJO (CT),SANTA CECILIA,-75.379317,9.2960945
32,SUCRE,SINCELEJO (CT),SAN ROQUE,-75.40200829999998,9.315055699999998
33,SUCRE,SINCELEJO (CT),VIDA,-75.4031964,9.3121362
34,SUCRE,SINCELEJO (CT),SAN FRANCISCO,-75.3993507,9.3091506
35,SUCRE,SINCELEJO (CT),COSTA AZUL,-75.379529,9.289621
36,SUCRE,SINCELEJO (CT),SAN VICENTE,-75.39665959999998,9.2882976
37,SUCRE,SINCELEJO (CT),LA SELVA,-75.4121882,9.2972914
38,SUCRE,SINCELEJO (CT),PUERTO ESCONDIDO,-75.39719559999998,9.3050549
39,SUCRE,SINCELEJO (CT),ESPAÑA,-75.3930165,9.2924575
40,SUCRE,SINCELEJO (CT),SAN JOSE,-75.3993469,9.305927
41,SUCRE,SINCELEJO (CT),VERBEL,-75.38683590000002,9.2911203
42,SUCRE,SINCELEJO (CT),SAN RAFAEL,-75.4110235,9.3085481
43,SUCRE,SINCELEJO (CT),LA MANO DE DIOS,-75.38001059999998,9.2942734
44,SUCRE,SINCELEJO (CT),LA PALMA,-75.3914551,9.3083097
45,SUCRE,SINCELEJO (CT),LA POLLITA,-75.4120257,9.3172905
46,SUCRE,SINCELEJO (CT),CERRITO COLORADO,-75.41080759999998,9.2927061
47,SUCRE,SINCELEJO (CT),FLORENCIA,-75.38270940000002,9.308159800000002
48,SUCRE,SINCELEJO (CT),SINAI,-75.4121184,9.2762741
49,SUCRE,SINCELEJO (CT),EL EDEN,-75.3768541,9.2974755
50,SUCRE,SINCELEJO (CT),LA FE,-75.3961962,9.3157785
51,SUCRE,SINCELEJO (CT),LA GRAN COLOMBIA,-75.3871313,9.2845525
52,SUCRE,SINCELEJO (CT),LA NARCIZA,-75.39374980000002,9.2865335
53,SUCRE,SINCELEJO (CT),CAMILO TORRES,-75.40941070000002,9.3021379
54,SUCRE,SINCELEJO (CT),EL MARAÑON,-75.3928481,9.2942205
55,SUCRE,SINCELEJO (CT),ALFONSO LOPEZ,-75.39523340000002,9.2921051
56,SUCRE,SINCELEJO (CT),PINAR,-75.40798029999998,9.3000296
57,SUCRE,SINCELEJO (CT),CRUZ DE MAYO,-75.39847252251909,9.307265
58,SUCRE,SINCELEJO (CT),VENECIA,-75.3773306,9.307183
59,SUCRE,SINCELEJO (CT),LA MARIA,-75.39220040000002,9.2997828
60,SUCRE,SINCELEJO (CT),7 DE AGOSTO,-75.3907487,9.3063186
61,SUCRE,SINCELEJO (CT),EL PROGRESO,-75.3822487,9.289226
62,SUCRE,SINCELEJO (CT),URIBE URIBE,-75.3784933,9.2864595
63,SUCRE,SINCELEJO (CT),EL OLIMPO,-75.4083917,9.3057664
64,SUCRE,SINCELEJO (CT),CALLE CAUCA,-75.3945552,9.2995403
65,SUCRE,SINCELEJO (CT),KENNEDY,-75.4074995,9.3053437
