,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
172,QUINDÍO,ARMENIA (CT),SECTOR PORTAL DEL QUINDIO,22.0,MASCULINO,01,02,22
289,QUINDÍO,ARMENIA (CT),SECTOR BAVARIA,33.0,MASCULINO,01,03,19
290,QUINDÍO,ARMENIA (CT),LA FACHADA,35.0,MASCULINO,01,03,21
460,QUINDÍO,ARMENIA (CT),SECTOR SENA AGROPECUARIO,56.0,MASCULINO,01,04,13
461,QUINDÍO,ARMENIA (CT),SIMON BOLIVAR,51.0,MASCULINO,01,04,20
462,QUINDÍO,ARMENIA (CT),CENTRO,58.0,FEMENINO,01,04,8
619,QUINDÍO,ARMENIA (CT),LA DIVISA,27.0,MASCULINO,01,05,11
620,QUINDÍO,ARMENIA (CT),CENTRO,16.0,FEMENINO,01,05,17
621,QUINDÍO,ARMENIA (CT),SECTOR ESTADIO CENTENARIO,42.0,MASCULINO,01,05,20
990,QUINDÍO,ARMENIA (CT),COINCA,23.0,FEMENINO,01,07,16
1356,QUINDÍO,ARMENIA (CT),CENTRO,41.0,MASCULINO,01,09,16
1497,QUINDÍO,ARMENIA (CT),OBRERO,32.0,MASCULINO,01,10,20
1798,QUINDÍO,ARMENIA (CT),SESENTA CASAS,34.0,MASCULINO,01,12,11
2007,QUINDÍO,ARMENIA (CT),CENTRO,26.0,FEMENINO,01,13,13
2418,QUINDÍO,ARMENIA (CT),CENTRO,26.0,FEMENINO,01,15,18
2617,QUINDÍO,ARMENIA (CT),SANTAFE,45.0,FEMENINO,01,16,7
2774,QUINDÍO,ARMENIA (CT),VDA.TIGREROS,12.0,MASCULINO,01,17,17
2941,QUINDÍO,ARMENIA (CT),OBRERO,45.0,FEMENINO,01,18,12
2942,QUINDÍO,ARMENIA (CT),CENTRO,25.0,FEMENINO,01,18,15
3127,QUINDÍO,ARMENIA (CT),CENTRO,26.0,FEMENINO,01,19,18
3303,QUINDÍO,ARMENIA (CT),"LA FACHADA I,II Y III",18.0,MASCULINO,01,20,19
3672,QUINDÍO,ARMENIA (CT),SECTOR UNIVERSIDAD GRAN COLOMBIA,20.0,FEMENINO,01,22,12
3846,QUINDÍO,ARMENIA (CT),CENTRO,32.0,MASCULINO,01,23,16
3847,QUINDÍO,ARMENIA (CT),CAFETERO,22.0,FEMENINO,01,23,17
3848,QUINDÍO,ARMENIA (CT),CENTRO,46.0,FEMENINO,01,23,18
3991,QUINDÍO,ARMENIA (CT),SECTOR ESTACION FERROCARRIL,29.0,MASCULINO,01,24,18
4143,QUINDÍO,ARMENIA (CT),CENTRO,36.0,MASCULINO,01,25,17
4326,QUINDÍO,ARMENIA (CT),CENTRO,78.0,MASCULINO,01,26,10
4327,QUINDÍO,ARMENIA (CT),LA UNION,33.0,FEMENINO,01,26,15
4499,QUINDÍO,ARMENIA (CT),SECTOR UNIQUINDIO,30.0,MASCULINO,01,27,10
5149,QUINDÍO,ARMENIA (CT),CENTRO,45.0,MASCULINO,01,30,13
5150,QUINDÍO,ARMENIA (CT),COINCA,31.0,MASCULINO,01,30,17
5479,QUINDÍO,ARMENIA (CT),CENTRO,38.0,FEMENINO,02,01,12
5683,QUINDÍO,ARMENIA (CT),ACACIAS,30.0,FEMENINO,02,02,15
5902,QUINDÍO,ARMENIA (CT),SECTOR UNIQUINDIO,52.0,MASCULINO,02,03,14
6129,QUINDÍO,ARMENIA (CT),FUNDADORES,31.0,MASCULINO,02,04,21
6350,QUINDÍO,ARMENIA (CT),EL BOSQUE,14.0,MASCULINO,02,05,7
6351,QUINDÍO,ARMENIA (CT),VILLA ALEJANDRA I Y II,26.0,FEMENINO,02,05,10
6564,QUINDÍO,ARMENIA (CT),LA FACHADA,63.0,MASCULINO,02,06,15
6702,QUINDÍO,ARMENIA (CT),CONJUNTO RESIDENCIAL LOS OCOBOS,38.0,MASCULINO,02,07,14
6703,QUINDÍO,ARMENIA (CT),SECTOR ESTADIO CENTENARIO,31.0,MASCULINO,02,07,14
6883,QUINDÍO,ARMENIA (CT),NUEVA CECILIA,47.0,FEMENINO,02,08,13
6884,QUINDÍO,ARMENIA (CT),EL RECREO,19.0,MASCULINO,02,08,15
6885,QUINDÍO,ARMENIA (CT),CENTRO,29.0,FEMENINO,02,08,19
7266,QUINDÍO,ARMENIA (CT),SANTANDER,24.0,FEMENINO,02,10,9
7467,QUINDÍO,ARMENIA (CT),ROJAS PINILLA I Y II,23.0,FEMENINO,02,11,8
7682,QUINDÍO,ARMENIA (CT),SECTOR ESTADIO CENTENARIO,44.0,MASCULINO,02,12,15
7683,QUINDÍO,ARMENIA (CT),EL BERLIN,26.0,MASCULINO,02,12,20
7869,QUINDÍO,ARMENIA (CT),CENTRO,23.0,FEMENINO,02,13,16
8179,QUINDÍO,ARMENIA (CT),CENTRO,87.0,MASCULINO,02,15,11
8180,QUINDÍO,ARMENIA (CT),CORBONES,17.0,MASCULINO,02,15,13
8181,QUINDÍO,ARMENIA (CT),FUNDADORES,20.0,FEMENINO,02,15,12
8361,QUINDÍO,ARMENIA (CT),SECTOR UNIQUINDIO,27.0,FEMENINO,02,16,11
8362,QUINDÍO,ARMENIA (CT),CENTRO,24.0,MASCULINO,02,16,18
8363,QUINDÍO,ARMENIA (CT),SANTANDER,32.0,MASCULINO,02,16,6
8570,QUINDÍO,ARMENIA (CT),LA ALDEA,30.0,FEMENINO,02,17,10
8571,QUINDÍO,ARMENIA (CT),LA LORENA,20.0,MASCULINO,02,17,18
8795,QUINDÍO,ARMENIA (CT),AV. CENTENARIO,30.0,FEMENINO,02,18,9
8796,QUINDÍO,ARMENIA (CT),REGIVIT,19.0,FEMENINO,02,18,22
8991,QUINDÍO,ARMENIA (CT),SECTOR CENTRO COMERCIAL BOLIVAR,35.0,FEMENINO,02,19,17
8992,QUINDÍO,ARMENIA (CT),CENTRO,30.0,FEMENINO,02,19,21
8993,QUINDÍO,ARMENIA (CT),FUNDADORES,20.0,MASCULINO,02,19,17
9180,QUINDÍO,ARMENIA (CT),PROVITEC,21.0,FEMENINO,02,20,15
9181,QUINDÍO,ARMENIA (CT),SECTOR ESTADIO CENTENARIO,39.0,MASCULINO,02,20,3
9183,QUINDÍO,ARMENIA (CT),PROVITEC,18.0,FEMENINO,02,20,15
9320,QUINDÍO,ARMENIA (CT),CRISTALINA,45.0,FEMENINO,02,21,16
9651,QUINDÍO,ARMENIA (CT),CENTRO,77.0,MASCULINO,02,23,9
9652,QUINDÍO,ARMENIA (CT),SAN JOSE,50.0,MASCULINO,02,23,10
10449,QUINDÍO,ARMENIA (CT),SANTANDER,20.0,FEMENINO,02,27,20
10450,QUINDÍO,ARMENIA (CT),CENTRO,44.0,FEMENINO,02,27,17
10451,QUINDÍO,ARMENIA (CT),FUNDADORES,21.0,MASCULINO,02,27,9
10761,QUINDÍO,ARMENIA (CT),CENTRO,41.0,MASCULINO,03,01,10
10762,QUINDÍO,ARMENIA (CT),FUNDADORES BAJO,40.0,MASCULINO,03,01,14
10923,QUINDÍO,ARMENIA (CT),CENTRO,29.0,MASCULINO,03,02,19
11075,QUINDÍO,ARMENIA (CT),CENTRO,65.0,MASCULINO,03,03,18
11257,QUINDÍO,ARMENIA (CT),CENTRO,79.0,MASCULINO,03,04,15
11258,QUINDÍO,ARMENIA (CT),FUNDADORES,34.0,MASCULINO,03,04,12
11259,QUINDÍO,ARMENIA (CT),SECTOR UNIVERSIDAD GRAN COLOMBIA,20.0,MASCULINO,03,04,20
11458,QUINDÍO,ARMENIA (CT),ISABELA,18.0,FEMENINO,03,05,21
11459,QUINDÍO,ARMENIA (CT),EL TIGREROS,23.0,FEMENINO,03,05,22
11460,QUINDÍO,ARMENIA (CT),HOSPITAL DE ZONA,44.0,MASCULINO,03,05,22
11654,QUINDÍO,ARMENIA (CT),CENTRO,16.0,FEMENINO,03,06,17
11967,QUINDÍO,ARMENIA (CT),SECTOR BOCA DEL TUNEL,40.0,MASCULINO,03,08,17
11968,QUINDÍO,ARMENIA (CT),SANTAFE,31.0,FEMENINO,03,08,7
12152,QUINDÍO,ARMENIA (CT),BOSQUES DE PINARES,34.0,FEMENINO,03,09,18
12153,QUINDÍO,ARMENIA (CT),ALFONSO LOPEZ,40.0,MASCULINO,03,09,12
12562,QUINDÍO,ARMENIA (CT),CENTRO,34.0,MASCULINO,03,11,12
12757,QUINDÍO,ARMENIA (CT),FUNDADORES,25.0,MASCULINO,03,12,23
12758,QUINDÍO,ARMENIA (CT),PORTAL DEL EDEN,23.0,MASCULINO,03,12,16
12759,QUINDÍO,ARMENIA (CT),GRANADA,24.0,MASCULINO,03,12,12
13168,QUINDÍO,ARMENIA (CT),CENTRO,24.0,MASCULINO,03,15,16
13365,QUINDÍO,ARMENIA (CT),CENTRO,21.0,MASCULINO,03,16,19
13524,QUINDÍO,ARMENIA (CT),FUNDADORES,28.0,MASCULINO,03,17,15
13525,QUINDÍO,ARMENIA (CT),VILLA DE LAS AMERICAS,34.0,MASCULINO,03,17,6
13718,QUINDÍO,ARMENIA (CT),PARAISO,44.0,MASCULINO,03,18,17
13887,QUINDÍO,ARMENIA (CT),CORBONES,23.0,MASCULINO,03,19,18
