,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
126,BOLÍVAR,CARTAGENA (CT),EL POZON,30.0,MASCULINO,01,02,8
127,BOLÍVAR,CARTAGENA (CT),PIE DE LA POPA,32.0,MASCULINO,01,02,7
128,BOLÍVAR,CARTAGENA (CT),EL LAGUITO,52.0,MASCULINO,01,02,16
219,BOLÍVAR,CARTAGENA (CT),EL CAMINO DEL MEDIO,15.0,FEMENINO,01,03,21
220,BOLÍVAR,CARTAGENA (CT),ALAMEDA LA VICTORIA,18.0,MASCULINO,01,03,3
221,BOLÍVAR,CARTAGENA (CT),CENTRO,24.0,FEMENINO,01,03,16
348,BOLÍVAR,CARTAGENA (CT),BOSQUE INDUSTRIAL,50.0,MASCULINO,01,04,16
349,BOLÍVAR,CARTAGENA (CT),LOS CALAMARES,30.0,MASCULINO,01,04,15
350,BOLÍVAR,CARTAGENA (CT),SANTA MONICA,44.0,FEMENINO,01,04,16
351,BOLÍVAR,CARTAGENA (CT),MARTINEZ MARTELO,58.0,MASCULINO,01,04,13
352,BOLÍVAR,CARTAGENA (CT),EL CAMINO DEL MEDIO,34.0,MASCULINO,01,04,19
539,BOLÍVAR,CARTAGENA (CT),BOCAGRANDE,65.0,MASCULINO,01,05,10
540,BOLÍVAR,CARTAGENA (CT),CHIQUINQUIRA,19.0,FEMENINO,01,05,19
541,BOLÍVAR,CARTAGENA (CT),BOCAGRANDE,44.0,MASCULINO,01,05,7
542,BOLÍVAR,CARTAGENA (CT),C.C. LA CASTELLANA (E-1),62.0,MASCULINO,01,05,18
543,BOLÍVAR,CARTAGENA (CT),ARROZ BARATO,36.0,MASCULINO,01,05,8
689,BOLÍVAR,CARTAGENA (CT),NUEVO PARAISO,40.0,FEMENINO,01,06,17
690,BOLÍVAR,CARTAGENA (CT),BOCAGRANDE,48.0,MASCULINO,01,06,8
691,BOLÍVAR,CARTAGENA (CT),BRUSELAS,24.0,MASCULINO,01,06,7
692,BOLÍVAR,CARTAGENA (CT),CTO. BARU,29.0,MASCULINO,01,06,5
693,BOLÍVAR,CARTAGENA (CT),PIE DE LA POPA,33.0,FEMENINO,01,06,18
694,BOLÍVAR,CARTAGENA (CT),LA QUINTA,37.0,MASCULINO,01,06,12
