,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
26,CAQUETÁ,FLORENCIA (CT),NUEVA COLOMBIA,27.0,FEMENINO,01,01,23
229,CAQUETÁ,FLORENCIA (CT),"VIA FLORENCIA , SUAZA-HUILA",32.0,MASCULINO,01,03,15
369,CAQUETÁ,FLORENCIA (CT),CIUDADELA HABITACIONAL SIGLO XXI,39.0,MASCULINO,01,04,0
370,CAQUETÁ,FLORENCIA (CT),EL CENTRO,51.0,MASCULINO,01,04,10
371,CAQUETÁ,FLORENCIA (CT),EL CENTRO,51.0,MASCULINO,01,04,10
557,CAQUETÁ,FLORENCIA (CT),17 DE ENERO,38.0,FEMENINO,01,05,0
894,CAQUETÁ,FLORENCIA (CT),CIUDADELA HABITACIONAL SIGLO XXI,39.0,MASCULINO,01,07,0
895,CAQUETÁ,FLORENCIA (CT),EL CENTRO,33.0,MASCULINO,01,07,0
896,CAQUETÁ,FLORENCIA (CT),LAS MALVINAS,24.0,MASCULINO,01,07,14
897,CAQUETÁ,FLORENCIA (CT),LAS MALVINAS,45.0,MASCULINO,01,07,16
1094,CAQUETÁ,FLORENCIA (CT),RINCON DE LA ESTRELLA,50.0,MASCULINO,01,08,0
1095,CAQUETÁ,FLORENCIA (CT),EL CENTRO,55.0,MASCULINO,01,08,8
1282,CAQUETÁ,FLORENCIA (CT),JUAN XXIII,24.0,MASCULINO,01,09,16
1439,CAQUETÁ,FLORENCIA (CT),ABBAS TURBAY,44.0,FEMENINO,01,10,11
1577,CAQUETÁ,FLORENCIA (CT),LA CONSOLATA,40.0,MASCULINO,01,11,0
1714,CAQUETÁ,FLORENCIA (CT),LA FLORESTA,48.0,MASCULINO,01,12,11
1715,CAQUETÁ,FLORENCIA (CT),VERSALLES,24.0,MASCULINO,01,12,17
1911,CAQUETÁ,FLORENCIA (CT),LA PAZ,39.0,MASCULINO,01,13,0
1912,CAQUETÁ,FLORENCIA (CT),VICTORIA 1 ETAPA,39.0,MASCULINO,01,13,0
1913,CAQUETÁ,FLORENCIA (CT),VILLA NATALIA,39.0,MASCULINO,01,13,0
1914,CAQUETÁ,FLORENCIA (CT),NUEVA FLORENCIA,20.0,MASCULINO,01,13,9
1915,CAQUETÁ,FLORENCIA (CT),EL CENTRO,19.0,FEMENINO,01,13,21
2105,CAQUETÁ,FLORENCIA (CT),CIUDADELA HABITACIONAL SIGLO XXI,39.0,MASCULINO,01,14,0
2106,CAQUETÁ,FLORENCIA (CT),LAS AVENIDAS,43.0,FEMENINO,01,14,11
2107,CAQUETÁ,FLORENCIA (CT),TRANSPORTADORES,31.0,MASCULINO,01,14,11
2108,CAQUETÁ,FLORENCIA (CT),TRANSPORTADORES,36.0,MASCULINO,01,14,11
2109,CAQUETÁ,FLORENCIA (CT),EL CENTRO,27.0,FEMENINO,01,14,12
2305,CAQUETÁ,FLORENCIA (CT),TORASSO,24.0,FEMENINO,01,15,10
2306,CAQUETÁ,FLORENCIA (CT),LAS AVENIDAS,29.0,FEMENINO,01,15,14
2530,CAQUETÁ,FLORENCIA (CT),"VIA FLORENCIA , SUAZA-HUILA",33.0,MASCULINO,01,16,0
2531,CAQUETÁ,FLORENCIA (CT),LA VEGA,34.0,MASCULINO,01,16,11
2712,CAQUETÁ,FLORENCIA (CT),17 DE ENERO,37.0,FEMENINO,01,17,5
2858,CAQUETÁ,FLORENCIA (CT),EL CENTRO,24.0,MASCULINO,01,18,13
2859,CAQUETÁ,FLORENCIA (CT),JUAN XXIII,30.0,FEMENINO,01,18,19
3216,CAQUETÁ,FLORENCIA (CT),JUAN XXIII,27.0,MASCULINO,01,20,0
3217,CAQUETÁ,FLORENCIA (CT),VIA A NEIVA,39.0,MASCULINO,01,20,0
3218,CAQUETÁ,FLORENCIA (CT),EL ROSAL,23.0,MASCULINO,01,20,9
3219,CAQUETÁ,FLORENCIA (CT),IDEMA,37.0,FEMENINO,01,20,22
3399,CAQUETÁ,FLORENCIA (CT),EL CENTRO,31.0,FEMENINO,01,21,16
3400,CAQUETÁ,FLORENCIA (CT),EL CENTRO,24.0,MASCULINO,01,21,22
3600,CAQUETÁ,FLORENCIA (CT),VIA MORELIA,39.0,MASCULINO,01,22,0
3601,CAQUETÁ,FLORENCIA (CT),EL CENTRO,34.0,MASCULINO,01,22,11
3602,CAQUETÁ,FLORENCIA (CT),EL CENTRO,42.0,MASCULINO,01,22,8
3603,CAQUETÁ,FLORENCIA (CT),LA CONSOLATA,22.0,MASCULINO,01,22,23
3604,CAQUETÁ,FLORENCIA (CT),VERSALLES,51.0,FEMENINO,01,22,9
3939,CAQUETÁ,FLORENCIA (CT),EL CENTRO,49.0,MASCULINO,01,24,0
4060,CAQUETÁ,FLORENCIA (CT),NUEVA FLORENCIA,24.0,MASCULINO,01,25,19
4247,CAQUETÁ,FLORENCIA (CT),EL VENTILADOR,29.0,MASCULINO,01,26,14
4248,CAQUETÁ,FLORENCIA (CT),RODRIGO TURBAY,30.0,FEMENINO,01,26,19
4249,CAQUETÁ,FLORENCIA (CT),EL CENTRO,28.0,FEMENINO,01,26,22
4417,CAQUETÁ,FLORENCIA (CT),EL CENTRO,25.0,MASCULINO,01,27,15
4418,CAQUETÁ,FLORENCIA (CT),LOS ANDES PARTE ALTA,25.0,MASCULINO,01,27,10
4419,CAQUETÁ,FLORENCIA (CT),JUAN XXIII,35.0,MASCULINO,01,27,10
4420,CAQUETÁ,FLORENCIA (CT),EL CENTRO,45.0,MASCULINO,01,27,19
4623,CAQUETÁ,FLORENCIA (CT),SAN JUDAS,47.0,FEMENINO,01,28,8
4624,CAQUETÁ,FLORENCIA (CT),SIETE DE AGOSTO,27.0,FEMENINO,01,28,18
4625,CAQUETÁ,FLORENCIA (CT),SIETE DE AGOSTO,27.0,FEMENINO,01,28,18
4847,CAQUETÁ,FLORENCIA (CT),CIUDADELA HABITACIONAL SIGLO XXI,39.0,MASCULINO,01,29,0
4848,CAQUETÁ,FLORENCIA (CT),LAS MALVINAS,39.0,MASCULINO,01,29,0
4849,CAQUETÁ,FLORENCIA (CT),EL CENTRO,60.0,FEMENINO,01,29,15
4850,CAQUETÁ,FLORENCIA (CT),RODRIGO TURBAY,45.0,MASCULINO,01,29,13
4851,CAQUETÁ,FLORENCIA (CT),EL LIMORAR,46.0,FEMENINO,01,29,19
5065,CAQUETÁ,FLORENCIA (CT),VILLAMONICA,23.0,FEMENINO,01,30,12
5240,CAQUETÁ,FLORENCIA (CT),SIETE DE AGOSTO,29.0,FEMENINO,01,31,15
5382,CAQUETÁ,FLORENCIA (CT),EL CENTRO,51.0,MASCULINO,02,01,0
5383,CAQUETÁ,FLORENCIA (CT),LAS AMERICAS,50.0,FEMENINO,02,01,9
5599,CAQUETÁ,FLORENCIA (CT),LA CASTILLA,42.0,MASCULINO,02,02,10
5797,CAQUETÁ,FLORENCIA (CT),EL CENTRO,21.0,MASCULINO,02,03,15
5798,CAQUETÁ,FLORENCIA (CT),CIUDADELA HABITACIONAL SIGLO XXI,39.0,MASCULINO,02,03,0
5799,CAQUETÁ,FLORENCIA (CT),CIUDADELA HABITACIONAL SIGLO XXI,39.0,MASCULINO,02,03,0
5800,CAQUETÁ,FLORENCIA (CT),LA LIBERTAD,23.0,FEMENINO,02,03,9
6027,CAQUETÁ,FLORENCIA (CT),17 DE ENERO,40.0,FEMENINO,02,04,19
6028,CAQUETÁ,FLORENCIA (CT),LOS ANDES,54.0,MASCULINO,02,04,15
6029,CAQUETÁ,FLORENCIA (CT),LA CONSOLATA,22.0,FEMENINO,02,04,21
6030,CAQUETÁ,FLORENCIA (CT),VIA VDA. SAN MARTIN,26.0,MASCULINO,02,04,7
6234,CAQUETÁ,FLORENCIA (CT),TORASSO,33.0,MASCULINO,02,05,10
6235,CAQUETÁ,FLORENCIA (CT),VILLA NATALIA,22.0,MASCULINO,02,05,12
6236,CAQUETÁ,FLORENCIA (CT),EL PORVENIR,17.0,MASCULINO,02,05,19
6470,CAQUETÁ,FLORENCIA (CT),AVENIDA PUENTE LOPEZ,33.0,MASCULINO,02,06,9
6790,CAQUETÁ,FLORENCIA (CT),PRADOS DEL NORTE,39.0,MASCULINO,02,08,0
6791,CAQUETÁ,FLORENCIA (CT),VDA. LA VICIOSA,39.0,MASCULINO,02,08,0
6792,CAQUETÁ,FLORENCIA (CT),VICTORIA 1 ETAPA,39.0,MASCULINO,02,08,0
6793,CAQUETÁ,FLORENCIA (CT),VILLA NATALIA,39.0,MASCULINO,02,08,0
6794,CAQUETÁ,FLORENCIA (CT),"VIA FLORENCIA , SUAZA-HUILA",39.0,MASCULINO,02,08,6
6990,CAQUETÁ,FLORENCIA (CT),LA ESTRELLA,62.0,FEMENINO,02,09,9
6991,CAQUETÁ,FLORENCIA (CT),EL CENTRO,32.0,MASCULINO,02,09,11
7170,CAQUETÁ,FLORENCIA (CT),CIUDADELA HABITACIONAL SIGLO XXI,39.0,MASCULINO,02,10,0
7171,CAQUETÁ,FLORENCIA (CT),SIETE DE AGOSTO,26.0,MASCULINO,02,10,18
7172,CAQUETÁ,FLORENCIA (CT),EL CENTRO,30.0,FEMENINO,02,10,9
7378,CAQUETÁ,FLORENCIA (CT),EL TRIUNFO,33.0,MASCULINO,02,11,18
