,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
95,TOLIMA,IBAGUÉ (CT),MURILLO TORO,30.0,MASCULINO,01,01,5
189,TOLIMA,IBAGUÉ (CT),EL CARMEN,48.0,MASCULINO,01,02,16
190,TOLIMA,IBAGUÉ (CT),CENTRO,53.0,MASCULINO,01,02,9
191,TOLIMA,IBAGUÉ (CT),TULIO VARON,24.0,FEMENINO,01,02,22
192,TOLIMA,IBAGUÉ (CT),TULIO VARON,27.0,MASCULINO,01,02,22
193,TOLIMA,IBAGUÉ (CT),SAN LUIS,37.0,MASCULINO,01,02,2
194,TOLIMA,IBAGUÉ (CT),LA REFORMA,32.0,MASCULINO,01,02,3
308,TOLIMA,IBAGUÉ (CT),EL CARMEN,36.0,MASCULINO,01,03,15
309,TOLIMA,IBAGUÉ (CT),EL LIMONAR,32.0,MASCULINO,01,03,11
310,TOLIMA,IBAGUÉ (CT),PICALEÑA,29.0,MASCULINO,01,03,16
311,TOLIMA,IBAGUÉ (CT),VALPARAISO,30.0,FEMENINO,01,03,19
312,TOLIMA,IBAGUÉ (CT),ESTACION,63.0,MASCULINO,01,03,10
313,TOLIMA,IBAGUÉ (CT),CENTRO,33.0,MASCULINO,01,03,2
314,TOLIMA,IBAGUÉ (CT),ESTACION,27.0,FEMENINO,01,03,11
315,TOLIMA,IBAGUÉ (CT),ESTACION,24.0,MASCULINO,01,03,21
316,TOLIMA,IBAGUÉ (CT),EL CARMEN,60.0,MASCULINO,01,03,19
484,TOLIMA,IBAGUÉ (CT),FEDERICO LLERAS,53.0,MASCULINO,01,04,0
485,TOLIMA,IBAGUÉ (CT),INTERLAKEN (1),40.0,MASCULINO,01,04,12
486,TOLIMA,IBAGUÉ (CT),AMBALA,60.0,FEMENINO,01,04,8
487,TOLIMA,IBAGUÉ (CT),MIROLINDO,40.0,MASCULINO,01,04,19
639,TOLIMA,IBAGUÉ (CT),CENTRO,48.0,MASCULINO,01,05,9
640,TOLIMA,IBAGUÉ (CT),CENTRO,33.0,FEMENINO,01,05,9
641,TOLIMA,IBAGUÉ (CT),JORDAN I ETAPA,49.0,MASCULINO,01,05,14
642,TOLIMA,IBAGUÉ (CT),CENTRO,40.0,MASCULINO,01,05,9
643,TOLIMA,IBAGUÉ (CT),FUENTE LOS ROSALES II,22.0,MASCULINO,01,05,12
1019,TOLIMA,IBAGUÉ (CT),PUEBLO NUEVO,16.0,MASCULINO,01,07,17
1020,TOLIMA,IBAGUÉ (CT),CENTRO,18.0,MASCULINO,01,07,21
1021,TOLIMA,IBAGUÉ (CT),LA CASTELLANA,28.0,MASCULINO,01,07,11
1022,TOLIMA,IBAGUÉ (CT),LA FRANCIA,21.0,MASCULINO,01,07,11
1224,TOLIMA,IBAGUÉ (CT),LOS MARTIRES,19.0,FEMENINO,01,08,12
1225,TOLIMA,IBAGUÉ (CT),CENTRO,31.0,FEMENINO,01,08,20
1226,TOLIMA,IBAGUÉ (CT),EL LIMONAR,13.0,MASCULINO,01,08,16
1227,TOLIMA,IBAGUÉ (CT),COMBEIMA,28.0,FEMENINO,01,08,19
1228,TOLIMA,IBAGUÉ (CT),COMBEIMA,30.0,MASCULINO,01,08,19
1392,TOLIMA,IBAGUÉ (CT),AMERICA,20.0,FEMENINO,01,09,10
