,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
4305,GUAINÍA,INÍRIDA (CT),BERLIN,31.0,MASCULINO,01,26,16
20867,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA I,26.0,FEMENINO,04,30,13
25105,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA II,29.0,FEMENINO,05,24,11
38210,GUAINÍA,INÍRIDA (CT),EL CENTRO,69.0,MASCULINO,08,10,13
38708,GUAINÍA,INÍRIDA (CT),COMUNIDAD EL PAUJIL,24.0,MASCULINO,08,13,7
41503,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA II,18.0,FEMENINO,08,30,15
67760,GUAINÍA,INÍRIDA (CT),EL GALAN,18,MASCULINO,01,09,12
67761,GUAINÍA,INÍRIDA (CT),ZONA INDIGENA,22,MASCULINO,03,27,15
67762,GUAINÍA,INÍRIDA (CT),EL CENTRO,80,MASCULINO,05,05,16
67763,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA I,19,FEMENINO,07,05,17
67764,GUAINÍA,INÍRIDA (CT),LIBERTADORES,22,FEMENINO,10,31,10
67765,GUAINÍA,INÍRIDA (CT),EL CENTRO,39,MASCULINO,12,03,4
67766,GUAINÍA,INÍRIDA (CT),LIBERTADORES,42,FEMENINO,12,27,13
82483,GUAINÍA,INÍRIDA (CT),BERLIN,19,MASCULINO,01,06,1
82485,GUAINÍA,INÍRIDA (CT),COMUNIDAD EL COCO,54,MASCULINO,01,10,0
82486,GUAINÍA,INÍRIDA (CT),VIA AL AEROPUERTO,30,MASCULINO,01,13,10
82487,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA II,18,MASCULINO,01,31,2
82488,GUAINÍA,INÍRIDA (CT),EL PUERTO,45,MASCULINO,02,27,23
82489,GUAINÍA,INÍRIDA (CT),VIA AL COCO,45,MASCULINO,05,03,18
82490,GUAINÍA,INÍRIDA (CT),EL PUERTO,18,FEMENINO,05,11,22
82491,GUAINÍA,INÍRIDA (CT),BERLIN,21,FEMENINO,06,01,6
82492,GUAINÍA,INÍRIDA (CT),EL CENTRO,67,MASCULINO,06,18,21
82493,GUAINÍA,INÍRIDA (CT),VIA AL COCO,46,MASCULINO,07,22,21
82494,GUAINÍA,INÍRIDA (CT),ZONA INDIGENA,22,MASCULINO,07,31,8
82495,GUAINÍA,INÍRIDA (CT),NUEVO HORIZONTE,22,MASCULINO,08,17,18
82497,GUAINÍA,INÍRIDA (CT),VIA AL COCO,37,MASCULINO,09,17,8
82498,GUAINÍA,INÍRIDA (CT),EL CENTRO,30,FEMENINO,09,28,21
82499,GUAINÍA,INÍRIDA (CT),VIA AL COCO,36,MASCULINO,09,29,4
82500,GUAINÍA,INÍRIDA (CT),COMUNIDAD EL PAUJIL,34,MASCULINO,10,02,2
82501,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA II,21,MASCULINO,10,03,1
82502,GUAINÍA,INÍRIDA (CT),COMUNEROS,17,MASCULINO,10,23,19
82503,GUAINÍA,INÍRIDA (CT),EL CENTRO,31,MASCULINO,10,25,18
82504,GUAINÍA,INÍRIDA (CT),ZONA INDIGENA,26,FEMENINO,10,28,10
82505,GUAINÍA,INÍRIDA (CT),COMUNIDAD CAÑO VITINA,49,FEMENINO,11,02,8
82507,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA II,27,FEMENINO,11,06,10
82509,GUAINÍA,INÍRIDA (CT),VIA AL COCO,48,MASCULINO,12,22,23
82510,GUAINÍA,INÍRIDA (CT),BERLIN,55,FEMENINO,12,26,8
93261,GUAINÍA,INÍRIDA (CT),EL CENTRO,23,MASCULINO,01,01,2
93262,GUAINÍA,INÍRIDA (CT),COMUNIDAD SABANITAS,30,MASCULINO,01,15,23
93263,GUAINÍA,INÍRIDA (CT),COMUNEROS,24,FEMENINO,02,13,6
93264,GUAINÍA,INÍRIDA (CT),EL PUERTO,18,MASCULINO,02,23,22
93265,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA II,19,FEMENINO,02,27,12
93267,GUAINÍA,INÍRIDA (CT),EL CENTRO,33,MASCULINO,03,16,7
93268,GUAINÍA,INÍRIDA (CT),EL CENTRO,33,FEMENINO,03,22,17
93269,GUAINÍA,INÍRIDA (CT),BERLIN,42,MASCULINO,04,01,19
93270,GUAINÍA,INÍRIDA (CT),BERLIN,45,MASCULINO,04,15,1
93271,GUAINÍA,INÍRIDA (CT),COMUNIDAD EL PAUJIL,52,MASCULINO,04,17,18
93272,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA I,56,FEMENINO,04,24,0
93273,GUAINÍA,INÍRIDA (CT),COMUNIDAD GUAMAL,29,MASCULINO,05,18,3
93274,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA II,42,MASCULINO,05,20,20
93276,GUAINÍA,INÍRIDA (CT),EL CENTRO,41,FEMENINO,05,29,9
93277,GUAINÍA,INÍRIDA (CT),EL CENTRO,19,FEMENINO,06,02,21
93278,GUAINÍA,INÍRIDA (CT),COMUNEROS,26,FEMENINO,06,04,17
93279,GUAINÍA,INÍRIDA (CT),VIA AL COCO,19,FEMENINO,06,08,3
93280,GUAINÍA,INÍRIDA (CT),5 DE DICIEMBRE,51,FEMENINO,06,15,9
93281,GUAINÍA,INÍRIDA (CT),PLATANILLAL,44,FEMENINO,06,17,23
93282,GUAINÍA,INÍRIDA (CT),COMUNIDAD SABANITAS,58,MASCULINO,07,20,5
93283,GUAINÍA,INÍRIDA (CT),COMUNIDAD EL PAUJIL,25,FEMENINO,07,21,6
93284,GUAINÍA,INÍRIDA (CT),COMUNIDAD EL PAUJIL,41,MASCULINO,07,26,0
93285,GUAINÍA,INÍRIDA (CT),LA VORAGINE,26,FEMENINO,08,06,3
93286,GUAINÍA,INÍRIDA (CT),ZONA INDIGENA,46,FEMENINO,09,06,7
93287,GUAINÍA,INÍRIDA (CT),LA PRIMAVERA I,37,MASCULINO,09,19,7
93288,GUAINÍA,INÍRIDA (CT),EL CENTRO,39,FEMENINO,09,25,16
93289,GUAINÍA,INÍRIDA (CT),COMUNIDAD EL PAUJIL,33,FEMENINO,10,08,6
93290,GUAINÍA,INÍRIDA (CT),BRISAS DEL PALMAR,30,MASCULINO,10,10,21
93291,GUAINÍA,INÍRIDA (CT),BERLIN,18,FEMENINO,10,14,0
93292,GUAINÍA,INÍRIDA (CT),COMUNIDAD EL PAUJIL,53,MASCULINO,10,14,3
93293,GUAINÍA,INÍRIDA (CT),COMUNEROS,46,MASCULINO,10,16,15
93294,GUAINÍA,INÍRIDA (CT),COMUNIDAD EL PAUJIL,13,MASCULINO,10,26,19
