,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
31,CÓRDOBA,MONTERÍA (CT),SAN MARTIN,30.0,MASCULINO,01,01,3
138,CÓRDOBA,MONTERÍA (CT),BUENAVISTA,15.0,FEMENINO,01,02,20
233,CÓRDOBA,MONTERÍA (CT),EL CENTRO,30.0,MASCULINO,01,03,11
381,CÓRDOBA,MONTERÍA (CT),EL RECREO,54.0,MASCULINO,01,04,0
382,CÓRDOBA,MONTERÍA (CT),EL CENTRO,30.0,MASCULINO,01,04,1
719,CÓRDOBA,MONTERÍA (CT),6 DE MARZO,32.0,FEMENINO,01,06,21
906,CÓRDOBA,MONTERÍA (CT),GALILEA,35.0,MASCULINO,01,07,14
907,CÓRDOBA,MONTERÍA (CT),LA CASTELLANA,44.0,MASCULINO,01,07,12
1108,CÓRDOBA,MONTERÍA (CT),EL CENTRO,51.0,MASCULINO,01,08,14
1109,CÓRDOBA,MONTERÍA (CT),EL CENTRO,38.0,MASCULINO,01,08,10
1110,CÓRDOBA,MONTERÍA (CT),JUAN XX I I I,30.0,MASCULINO,01,08,15
1290,CÓRDOBA,MONTERÍA (CT),LA FLORESTA,50.0,FEMENINO,01,09,13
1448,CÓRDOBA,MONTERÍA (CT),EL CENTRO,26.0,FEMENINO,01,10,4
1724,CÓRDOBA,MONTERÍA (CT),EL CENTRO,42.0,MASCULINO,01,12,9
2312,CÓRDOBA,MONTERÍA (CT),EL CENTRO,22.0,MASCULINO,01,15,10
2313,CÓRDOBA,MONTERÍA (CT),EL CENTRO,51.0,MASCULINO,01,15,11
2314,CÓRDOBA,MONTERÍA (CT),LA GRANJA,33.0,MASCULINO,01,15,15
2720,CÓRDOBA,MONTERÍA (CT),ALFONSO LOPEZ,48.0,MASCULINO,01,17,9
2870,CÓRDOBA,MONTERÍA (CT),LA GRANJA,30.0,MASCULINO,01,18,7
3050,CÓRDOBA,MONTERÍA (CT),LA ESMERALDA,25.0,FEMENINO,01,19,13
3051,CÓRDOBA,MONTERÍA (CT),EL CENTRO,25.0,MASCULINO,01,19,18
3052,CÓRDOBA,MONTERÍA (CT),PASATIEMPO,30.0,FEMENINO,01,19,21
3226,CÓRDOBA,MONTERÍA (CT),EL CENTRO,34.0,MASCULINO,01,20,11
3609,CÓRDOBA,MONTERÍA (CT),SUCRE,59.0,MASCULINO,01,22,11
3779,CÓRDOBA,MONTERÍA (CT),EL CENTRO,25.0,FEMENINO,01,23,14
4258,CÓRDOBA,MONTERÍA (CT),EL CENTRO,42.0,MASCULINO,01,26,12
4431,CÓRDOBA,MONTERÍA (CT),VILLA DEL RIO,35.0,MASCULINO,01,27,18
4641,CÓRDOBA,MONTERÍA (CT),GRANADA,30.0,MASCULINO,01,28,15
4642,CÓRDOBA,MONTERÍA (CT),JUAN XX I I I,42.0,MASCULINO,01,28,16
4858,CÓRDOBA,MONTERÍA (CT),RANCHO GRANDE,28.0,FEMENINO,01,29,8
4859,CÓRDOBA,MONTERÍA (CT),LOS LAURELES,30.0,MASCULINO,01,29,21
4860,CÓRDOBA,MONTERÍA (CT),EL CENTRO,30.0,FEMENINO,01,29,16
5074,CÓRDOBA,MONTERÍA (CT),GRANADA,30.0,MASCULINO,01,30,11
5246,CÓRDOBA,MONTERÍA (CT),LA COQUERA,69.0,MASCULINO,01,31,1
5389,CÓRDOBA,MONTERÍA (CT),CANTACLARO,35.0,MASCULINO,02,01,9
5809,CÓRDOBA,MONTERÍA (CT),PASATIEMPO,55.0,MASCULINO,02,03,11
5810,CÓRDOBA,MONTERÍA (CT),EL CENTRO,65.0,FEMENINO,02,03,10
5811,CÓRDOBA,MONTERÍA (CT),SANTA CLARA,33.0,MASCULINO,02,03,12
5812,CÓRDOBA,MONTERÍA (CT),COLINA REAL,35.0,FEMENINO,02,03,9
6479,CÓRDOBA,MONTERÍA (CT),CANTACLARO,52.0,MASCULINO,02,06,10
6800,CÓRDOBA,MONTERÍA (CT),MOCARI,34.0,MASCULINO,02,08,14
6801,CÓRDOBA,MONTERÍA (CT),EL DORADO,34.0,MASCULINO,02,08,3
