,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
60,HUILA,NEIVA (CT),LAS GRANJAS,67.0,FEMENINO,01,01,8
61,HUILA,NEIVA (CT),MANZANARES,44.0,FEMENINO,01,01,8
62,HUILA,NEIVA (CT),SECTOR GALINDO,34.0,MASCULINO,01,01,8
167,HUILA,NEIVA (CT),CENTRO,66.0,MASCULINO,01,02,17
168,HUILA,NEIVA (CT),BUENOS AIRES,39.0,MASCULINO,01,02,10
269,HUILA,NEIVA (CT),LOS ALPES,29.0,MASCULINO,01,03,11
441,HUILA,NEIVA (CT),CENTRO,31.0,FEMENINO,01,04,11
442,HUILA,NEIVA (CT),ZONA INDUSTRIAL,26.0,MASCULINO,01,04,11
608,HUILA,NEIVA (CT),CENTRO,72.0,MASCULINO,01,05,9
776,HUILA,NEIVA (CT),CENTRO,18.0,MASCULINO,01,06,0
777,HUILA,NEIVA (CT),CENTRO,50.0,MASCULINO,01,06,8
778,HUILA,NEIVA (CT),MANZANARES,25.0,MASCULINO,01,06,12
779,HUILA,NEIVA (CT),EL JARDIN,41.0,FEMENINO,01,06,15
780,HUILA,NEIVA (CT),TERMINAL,37.0,MASCULINO,01,06,18
965,HUILA,NEIVA (CT),CENTRO,55.0,MASCULINO,01,07,9
966,HUILA,NEIVA (CT),OBRERO,33.0,FEMENINO,01,07,20
967,HUILA,NEIVA (CT),QUEBRADITAS,33.0,MASCULINO,01,07,11
1168,HUILA,NEIVA (CT),PRIMERO DE MAYO,45.0,MASCULINO,01,08,0
1169,HUILA,NEIVA (CT),CENTRO,73.0,MASCULINO,01,08,16
1170,HUILA,NEIVA (CT),CENTRO,42.0,MASCULINO,01,08,14
1171,HUILA,NEIVA (CT),EDUARDO SANTOS,57.0,MASCULINO,01,08,19
1338,HUILA,NEIVA (CT),BUGANVILES,45.0,MASCULINO,01,09,11
1339,HUILA,NEIVA (CT),LAS AMERICAS,26.0,MASCULINO,01,09,21
1480,HUILA,NEIVA (CT),LA COLINA,55.0,MASCULINO,01,10,0
1481,HUILA,NEIVA (CT),CALIXTO LEYVA,30.0,FEMENINO,01,10,20
1482,HUILA,NEIVA (CT),NUEVA GRANADA,35.0,MASCULINO,01,10,10
1622,HUILA,NEIVA (CT),BUENOS AIRES,40.0,FEMENINO,01,11,22
1623,HUILA,NEIVA (CT),TIMANCO,44.0,MASCULINO,01,11,20
1776,HUILA,NEIVA (CT),LOS COLORES,43.0,MASCULINO,01,12,0
1777,HUILA,NEIVA (CT),CENTRO,54.0,MASCULINO,01,12,9
1778,HUILA,NEIVA (CT),LA TOMA,45.0,MASCULINO,01,12,17
1779,HUILA,NEIVA (CT),CENTRO,42.0,MASCULINO,01,12,18
1780,HUILA,NEIVA (CT),CALIXTO LEYVA,37.0,MASCULINO,01,12,18
1781,HUILA,NEIVA (CT),CALIXTO LEYVA,37.0,FEMENINO,01,12,18
1984,HUILA,NEIVA (CT),ZONA INDUSTRIAL,18.0,MASCULINO,01,13,9
1985,HUILA,NEIVA (CT),TIMANCO,41.0,MASCULINO,01,13,8
1986,HUILA,NEIVA (CT),EL TRIANGULO,49.0,FEMENINO,01,13,4
1987,HUILA,NEIVA (CT),CENTRO,63.0,FEMENINO,01,13,20
2176,HUILA,NEIVA (CT),SAN CARLOS,42.0,FEMENINO,01,14,15
2177,HUILA,NEIVA (CT),EDUARDO SANTOS,33.0,FEMENINO,01,14,19
2178,HUILA,NEIVA (CT),SAN MARTIN DE PORRES,13.0,MASCULINO,01,14,17
2385,HUILA,NEIVA (CT),LAS GRANJAS,32.0,MASCULINO,01,15,8
2386,HUILA,NEIVA (CT),PRADO ALTO,60.0,FEMENINO,01,15,18
2387,HUILA,NEIVA (CT),LAS PALMAS ETAPA I,35.0,MASCULINO,01,15,4
2388,HUILA,NEIVA (CT),LA LIBERTAD,18.0,FEMENINO,01,15,19
2597,HUILA,NEIVA (CT),SANTA INES,45.0,FEMENINO,01,16,12
2766,HUILA,NEIVA (CT),ALTICO,23.0,FEMENINO,01,17,1
2930,HUILA,NEIVA (CT),EL TRIANGULO,27.0,FEMENINO,01,18,23
3292,HUILA,NEIVA (CT),SAN BERNARDO DEL VIENTO,19.0,MASCULINO,01,20,17
3293,HUILA,NEIVA (CT),LAS CRISTALINAS,42.0,FEMENINO,01,20,22
3474,HUILA,NEIVA (CT),CALIXTO LEYVA,60.0,MASCULINO,01,21,0
3475,HUILA,NEIVA (CT),CENTRO,23.0,FEMENINO,01,21,14
3476,HUILA,NEIVA (CT),CENTRO,42.0,MASCULINO,01,21,11
3477,HUILA,NEIVA (CT),ALTO EMAYA,18.0,FEMENINO,01,21,9
3831,HUILA,NEIVA (CT),CENTRO,30.0,FEMENINO,01,23,15
4120,HUILA,NEIVA (CT),JORGE ELIECER GAITAN,18.0,MASCULINO,01,25,0
4121,HUILA,NEIVA (CT),CENTRO,55.0,FEMENINO,01,25,9
4122,HUILA,NEIVA (CT),LOS ALPES,32.0,MASCULINO,01,25,14
4123,HUILA,NEIVA (CT),IPC (CASA JUSTICIA),32.0,MASCULINO,01,25,10
4124,HUILA,NEIVA (CT),DARIO ECHANDIA,45.0,MASCULINO,01,25,8
4125,HUILA,NEIVA (CT),CANDIDO LEGUIZAMO,28.0,MASCULINO,01,25,23
4307,HUILA,NEIVA (CT),LOS ALPES,18.0,MASCULINO,01,26,0
4308,HUILA,NEIVA (CT),LOS GUADUALES,18.0,MASCULINO,01,26,0
4309,HUILA,NEIVA (CT),CANDIDO LEGUIZAMO,43.0,FEMENINO,01,26,14
4310,HUILA,NEIVA (CT),CENTRO,43.0,MASCULINO,01,26,18
4311,HUILA,NEIVA (CT),LAS PALMAS ETAPA I,44.0,MASCULINO,01,26,3
4485,HUILA,NEIVA (CT),CENTRO,38.0,MASCULINO,01,27,0
4486,HUILA,NEIVA (CT),LAS BRISAS,28.0,MASCULINO,01,27,16
4487,HUILA,NEIVA (CT),CENTRO,37.0,FEMENINO,01,27,16
4488,HUILA,NEIVA (CT),CENTRO,37.0,FEMENINO,01,27,11
4711,HUILA,NEIVA (CT),LOS CAMBULOS,37.0,FEMENINO,01,28,10
4712,HUILA,NEIVA (CT),JORGE ELIECER GAITAN,36.0,FEMENINO,01,28,13
4713,HUILA,NEIVA (CT),LOS CAMBULOS,38.0,FEMENINO,01,28,20
4714,HUILA,NEIVA (CT),ALTICO,19.0,MASCULINO,01,28,15
4715,HUILA,NEIVA (CT),SAN MARTIN DE PORRES,39.0,MASCULINO,01,28,8
4716,HUILA,NEIVA (CT),QUIRINAL,25.0,FEMENINO,01,28,11
4926,HUILA,NEIVA (CT),IPANEMA,23.0,FEMENINO,01,29,15
4927,HUILA,NEIVA (CT),SAN MARTIN DE PORRES,45.0,MASCULINO,01,29,9
4928,HUILA,NEIVA (CT),EL OASIS,35.0,MASCULINO,01,29,10
5129,HUILA,NEIVA (CT),CENTRO,44.0,MASCULINO,01,30,9
5130,HUILA,NEIVA (CT),PUERTA DEL SOL,31.0,MASCULINO,01,30,17
5131,HUILA,NEIVA (CT),CANDIDO LEGUIZAMO,29.0,MASCULINO,01,30,4
5281,HUILA,NEIVA (CT),VEREDA CEIBAS AFUERA,64.0,MASCULINO,01,31,14
5457,HUILA,NEIVA (CT),LOS ALMENDROS,67.0,MASCULINO,02,01,15
5458,HUILA,NEIVA (CT),DIEGO DE OSPINA,51.0,MASCULINO,02,01,0
5459,HUILA,NEIVA (CT),CENTRO,44.0,MASCULINO,02,01,13
5460,HUILA,NEIVA (CT),LOS DUJOS,14.0,FEMENINO,02,01,12
5663,HUILA,NEIVA (CT),CENTRO,35.0,MASCULINO,02,02,16
5888,HUILA,NEIVA (CT),SEVILLA,47.0,MASCULINO,02,03,19
5889,HUILA,NEIVA (CT),CARLOS PIZARRO,35.0,FEMENINO,02,03,15
6102,HUILA,NEIVA (CT),LOS MARTIRES,32.0,FEMENINO,02,04,13
6330,HUILA,NEIVA (CT),ACACIAS ETAPA II,34.0,FEMENINO,02,05,9
6331,HUILA,NEIVA (CT),CENTRO,20.0,MASCULINO,02,05,9
6544,HUILA,NEIVA (CT),SANTA ISABEL,46.0,MASCULINO,02,06,19
6545,HUILA,NEIVA (CT),CENTRO,21.0,FEMENINO,02,06,21
6546,HUILA,NEIVA (CT),CHAPINERO,60.0,MASCULINO,02,06,1
6693,HUILA,NEIVA (CT),PUERTA DEL SOL,48.0,FEMENINO,02,07,5
6862,HUILA,NEIVA (CT),CENTRO,23.0,FEMENINO,02,08,0
6863,HUILA,NEIVA (CT),CENTRO,42.0,MASCULINO,02,08,9
6864,HUILA,NEIVA (CT),PRIMERO DE MAYO,30.0,MASCULINO,02,08,9
6866,HUILA,NEIVA (CT),CENTRO,31.0,FEMENINO,02,08,10
7049,HUILA,NEIVA (CT),LAS AMERICAS,73.0,MASCULINO,02,09,0
7050,HUILA,NEIVA (CT),CENTRO,20.0,MASCULINO,02,09,20
7051,HUILA,NEIVA (CT),CENTRO,45.0,MASCULINO,02,09,1
7052,HUILA,NEIVA (CT),CENTRO,50.0,FEMENINO,02,09,17
7053,HUILA,NEIVA (CT),LOS CAMBULOS,20.0,FEMENINO,02,09,7
7246,HUILA,NEIVA (CT),CENTRO,50.0,FEMENINO,02,10,9
7247,HUILA,NEIVA (CT),LAS AMERICAS,26.0,FEMENINO,02,10,14
7248,HUILA,NEIVA (CT),CENTRO,44.0,FEMENINO,02,10,17
7249,HUILA,NEIVA (CT),DIEGO DE OSPINA,27.0,MASCULINO,02,10,9
7446,HUILA,NEIVA (CT),EL JARDIN,36.0,FEMENINO,02,11,17
7648,HUILA,NEIVA (CT),MERCANEIVA,23.0,MASCULINO,02,12,14
7649,HUILA,NEIVA (CT),CENTRO,53.0,MASCULINO,02,12,9
7650,HUILA,NEIVA (CT),CONJ. RES. TURIPANA,26.0,FEMENINO,02,12,11
7651,HUILA,NEIVA (CT),JOSE MARIA CARBONEL,18.0,FEMENINO,02,12,8
7652,HUILA,NEIVA (CT),TIMANCO,17.0,FEMENINO,02,12,10
7653,HUILA,NEIVA (CT),AEROPUERTO,33.0,MASCULINO,02,12,18
7844,HUILA,NEIVA (CT),LAS  MERCEDES,17.0,MASCULINO,02,13,18
7994,HUILA,NEIVA (CT),TENERIFE,42.0,FEMENINO,02,14,8
7995,HUILA,NEIVA (CT),SANTA INES,27.0,MASCULINO,02,14,17
7996,HUILA,NEIVA (CT),LAS CAMELIAS,30.0,MASCULINO,02,14,2
8165,HUILA,NEIVA (CT),LAS GRANJAS,47.0,FEMENINO,02,15,10
8166,HUILA,NEIVA (CT),CENTRO,54.0,MASCULINO,02,15,0
8167,HUILA,NEIVA (CT),LUIS IGNACIO ANDRADE,53.0,FEMENINO,02,15,9
8168,HUILA,NEIVA (CT),CENTRO,62.0,MASCULINO,02,15,11
8342,HUILA,NEIVA (CT),LOS ANDES,20.0,MASCULINO,02,16,19
8343,HUILA,NEIVA (CT),CENTRO,43.0,MASCULINO,02,16,9
8344,HUILA,NEIVA (CT),EL LIMONAR,22.0,FEMENINO,02,16,20
8345,HUILA,NEIVA (CT),ZONA INDUSTRIAL,27.0,MASCULINO,02,16,6
8346,HUILA,NEIVA (CT),VEREDA EL VENADO,60.0,MASCULINO,02,16,5
8347,HUILA,NEIVA (CT),CARLOS PIZARRO,23.0,FEMENINO,02,16,19
8548,HUILA,NEIVA (CT),CENTRO,30.0,FEMENINO,02,17,10
8766,HUILA,NEIVA (CT),CENTRO,38.0,FEMENINO,02,18,17
8767,HUILA,NEIVA (CT),IPANEMA,47.0,MASCULINO,02,18,8
8768,HUILA,NEIVA (CT),SECTOR GALINDO,23.0,MASCULINO,02,18,17
8769,HUILA,NEIVA (CT),MANSIONES DEL NORTE,18.0,FEMENINO,02,18,18
8966,HUILA,NEIVA (CT),QUIRINAL,55.0,FEMENINO,02,19,9
8967,HUILA,NEIVA (CT),LA FLORESTA,19.0,FEMENINO,02,19,15
8968,HUILA,NEIVA (CT),LA LIBERTAD,42.0,FEMENINO,02,19,19
8969,HUILA,NEIVA (CT),TERMINAL,19.0,FEMENINO,02,19,8
8970,HUILA,NEIVA (CT),GUALANDAY ETAPA I,25.0,FEMENINO,02,19,11
8971,HUILA,NEIVA (CT),SANTA ISABEL,54.0,FEMENINO,02,19,19
9167,HUILA,NEIVA (CT),CENTRO,46.0,FEMENINO,02,20,12
9168,HUILA,NEIVA (CT),SANTA INES,24.0,MASCULINO,02,20,19
9308,HUILA,NEIVA (CT),CANDIDO LEGUIZAMO,34.0,FEMENINO,02,21,8
9309,HUILA,NEIVA (CT),LOS ALMENDROS,29.0,FEMENINO,02,21,14
9464,HUILA,NEIVA (CT),OASIS III,18.0,MASCULINO,02,22,10
9465,HUILA,NEIVA (CT),CENTRO,63.0,MASCULINO,02,22,10
9466,HUILA,NEIVA (CT),LOS DUJOS,18.0,FEMENINO,02,22,10
9467,HUILA,NEIVA (CT),CAMILO TORRES,31.0,MASCULINO,02,22,10
9468,HUILA,NEIVA (CT),ACACIAS ETAPA II,36.0,FEMENINO,02,22,20
9639,HUILA,NEIVA (CT),LA ORQUIDEA,61.0,FEMENINO,02,23,0
9640,HUILA,NEIVA (CT),CENTRO,42.0,FEMENINO,02,23,17
9826,HUILA,NEIVA (CT),LAS PALMAS ETAPA II,24.0,MASCULINO,02,24,0
9828,HUILA,NEIVA (CT),EL LAGO,40.0,FEMENINO,02,24,9
10034,HUILA,NEIVA (CT),CENTRO,26.0,FEMENINO,02,25,11
10236,HUILA,NEIVA (CT),LA TOMA,64.0,FEMENINO,02,26,10
10237,HUILA,NEIVA (CT),CENTRO,18.0,MASCULINO,02,26,0
10240,HUILA,NEIVA (CT),SAN MARTIN DE PORRES,32.0,MASCULINO,02,26,15
10241,HUILA,NEIVA (CT),TENERIFE BAJO,25.0,FEMENINO,02,26,8
10426,HUILA,NEIVA (CT),IPANEMA,23.0,FEMENINO,02,27,19
10427,HUILA,NEIVA (CT),IPANEMA,41.0,MASCULINO,02,27,19
10428,HUILA,NEIVA (CT),SIMON BOLIVAR,15.0,MASCULINO,02,27,20
10429,HUILA,NEIVA (CT),TENERIFE,18.0,MASCULINO,02,27,8
10430,HUILA,NEIVA (CT),LAS GRANJAS,43.0,MASCULINO,02,27,23
10579,HUILA,NEIVA (CT),PUERTA DEL SOL,42.0,MASCULINO,02,28,19
10580,HUILA,NEIVA (CT),CHAPINERO,18.0,FEMENINO,02,28,8
10581,HUILA,NEIVA (CT),CAMPO NUÑEZ,30.0,MASCULINO,02,28,2
10582,HUILA,NEIVA (CT),SANTA ISABEL,33.0,MASCULINO,02,28,4
10583,HUILA,NEIVA (CT),TERMINAL,34.0,MASCULINO,02,28,13
10743,HUILA,NEIVA (CT),LAS PALMAS ETAPA II,29.0,FEMENINO,03,01,10
10744,HUILA,NEIVA (CT),MIRA RIO ETAPA I,34.0,FEMENINO,03,01,15
10745,HUILA,NEIVA (CT),SAN CARLOS,35.0,MASCULINO,03,01,18
10746,HUILA,NEIVA (CT),CENTRO,36.0,FEMENINO,03,01,8
10907,HUILA,NEIVA (CT),LA TOMA,35.0,MASCULINO,03,02,16
10908,HUILA,NEIVA (CT),LA TOMA,35.0,MASCULINO,03,02,16
10909,HUILA,NEIVA (CT),SANTA INES,42.0,MASCULINO,03,02,19
10910,HUILA,NEIVA (CT),CENTRO,30.0,FEMENINO,03,02,19
10911,HUILA,NEIVA (CT),CENTRO,46.0,MASCULINO,03,02,10
11059,HUILA,NEIVA (CT),CANDIDO LEGUIZAMO,24.0,MASCULINO,03,03,0
11060,HUILA,NEIVA (CT),LOS COLORES,25.0,FEMENINO,03,03,12
11235,HUILA,NEIVA (CT),TENERIFE,28.0,MASCULINO,03,04,0
11236,HUILA,NEIVA (CT),ALBERTO GALINDO,48.0,MASCULINO,03,04,15
11237,HUILA,NEIVA (CT),LOS ANDES,30.0,FEMENINO,03,04,8
11238,HUILA,NEIVA (CT),SANTA ISABEL,63.0,FEMENINO,03,04,21
11239,HUILA,NEIVA (CT),ARISMENDI MORA PERDOMO,57.0,MASCULINO,03,04,8
11443,HUILA,NEIVA (CT),CENTRO,48.0,MASCULINO,03,05,0
11444,HUILA,NEIVA (CT),CENTRO,55.0,FEMENINO,03,05,13
11636,HUILA,NEIVA (CT),CENTRO,44.0,MASCULINO,03,06,0
11637,HUILA,NEIVA (CT),CANAIMA,18.0,FEMENINO,03,06,17
11638,HUILA,NEIVA (CT),ALFONSO LOPEZ,21.0,MASCULINO,03,06,8
11953,HUILA,NEIVA (CT),CENTRO,17.0,FEMENINO,03,08,16
11954,HUILA,NEIVA (CT),SANTA ISABEL,47.0,FEMENINO,03,08,16
11955,HUILA,NEIVA (CT),CENTRO,35.0,MASCULINO,03,08,9
11956,HUILA,NEIVA (CT),JOSE ANTONIO GALAN,33.0,MASCULINO,03,08,14
11957,HUILA,NEIVA (CT),BOGOTA,25.0,MASCULINO,03,08,11
12146,HUILA,NEIVA (CT),SAN MARTIN DE PORRES,24.0,MASCULINO,03,09,19
12332,HUILA,NEIVA (CT),LOS MARTIRES,75.0,MASCULINO,03,10,8
12333,HUILA,NEIVA (CT),ALTOS DEL LIMONAR ETAPA II,41.0,FEMENINO,03,10,7
12546,HUILA,NEIVA (CT),JOSE ANTONIO GALAN,39.0,MASCULINO,03,11,13
12547,HUILA,NEIVA (CT),JOSE ANTONIO GALAN,29.0,MASCULINO,03,11,16
12746,HUILA,NEIVA (CT),CANDIDO LEGUIZAMO,35.0,FEMENINO,03,12,0
12747,HUILA,NEIVA (CT),SEVILLA,43.0,FEMENINO,03,12,15
12748,HUILA,NEIVA (CT),LA TOMA,43.0,FEMENINO,03,12,17
12883,HUILA,NEIVA (CT),CENTRO,18.0,MASCULINO,03,13,0
