,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
514,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,20.0,MASCULINO,01,04,9
3563,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,21.0,MASCULINO,01,21,20
6436,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,24.0,FEMENINO,02,05,3
11316,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,30.0,MASCULINO,03,04,23
11721,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,19.0,FEMENINO,03,06,7
15040,VICHADA,PUERTO CARREÑO (CT),ESCUDILLAS,41.0,FEMENINO,03,26,0
17405,VICHADA,PUERTO CARREÑO (CT),ESCUDILLAS,28.0,MASCULINO,04,10,3
19877,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,30.0,MASCULINO,04,24,3
24489,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,43.0,MASCULINO,05,20,7
26790,VICHADA,PUERTO CARREÑO (CT),ALCARAVAN,29.0,MASCULINO,06,03,4
35029,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,32.0,FEMENINO,07,22,3
46612,VICHADA,PUERTO CARREÑO (CT),ACACIAS,36.0,FEMENINO,09,28,17
67810,VICHADA,PUERTO CARREÑO (CT),ARTURO BUENO,28,MASCULINO,02,19,4
67811,VICHADA,PUERTO CARREÑO (CT),ACACIAS,49,FEMENINO,04,17,19
67812,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,53,MASCULINO,05,04,19
67813,VICHADA,PUERTO CARREÑO (CT),ALCARAVAN,24,FEMENINO,05,19,9
67814,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,28,MASCULINO,05,28,22
82552,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,42,FEMENINO,03,09,18
82553,VICHADA,PUERTO CARREÑO (CT),SIMON BOLIVAR,24,MASCULINO,03,18,16
82554,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,28,MASCULINO,03,25,6
82555,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,34,FEMENINO,03,27,11
82556,VICHADA,PUERTO CARREÑO (CT),SANTA HELENITA,40,MASCULINO,04,01,13
82559,VICHADA,PUERTO CARREÑO (CT),ANTONIO NARIÑO,30,MASCULINO,04,03,8
82560,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,22,MASCULINO,05,24,21
82561,VICHADA,PUERTO CARREÑO (CT),PRIMAVERA,31,MASCULINO,06,13,13
82565,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,17,MASCULINO,09,15,22
82566,VICHADA,PUERTO CARREÑO (CT),ACACIAS,49,FEMENINO,09,21,22
82568,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,30,FEMENINO,10,04,19
82570,VICHADA,PUERTO CARREÑO (CT),LA PLAZUELA,32,MASCULINO,10,21,9
82571,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,23,MASCULINO,11,08,16
82572,VICHADA,PUERTO CARREÑO (CT),LA PLAZUELA,25,FEMENINO,11,14,15
82573,VICHADA,PUERTO CARREÑO (CT),MATEO,39,FEMENINO,11,18,22
82574,VICHADA,PUERTO CARREÑO (CT),LA FLORIDA,21,FEMENINO,12,10,8
93341,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,31,MASCULINO,02,03,7
93343,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,44,MASCULINO,02,11,22
93344,VICHADA,PUERTO CARREÑO (CT),MATEO,42,FEMENINO,02,11,1
93345,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,37,MASCULINO,03,08,9
93346,VICHADA,PUERTO CARREÑO (CT),MATEO,19,MASCULINO,03,15,15
93347,VICHADA,PUERTO CARREÑO (CT),ALCARAVAN,36,FEMENINO,03,25,3
93348,VICHADA,PUERTO CARREÑO (CT),LA FLORIDA,38,MASCULINO,04,01,1
93349,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,43,MASCULINO,04,02,14
93353,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,49,FEMENINO,05,08,11
93354,VICHADA,PUERTO CARREÑO (CT),MATEO,25,FEMENINO,05,21,13
93355,VICHADA,PUERTO CARREÑO (CT),MATEO,29,FEMENINO,05,21,13
93356,VICHADA,PUERTO CARREÑO (CT),MATEO,18,MASCULINO,06,15,14
93357,VICHADA,PUERTO CARREÑO (CT),MATEO,31,MASCULINO,06,17,10
93358,VICHADA,PUERTO CARREÑO (CT),PUNTA DE LAJA,32,MASCULINO,06,21,20
93359,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,24,MASCULINO,06,21,20
93360,VICHADA,PUERTO CARREÑO (CT),MATEO,31,MASCULINO,06,22,16
93362,VICHADA,PUERTO CARREÑO (CT),LA PLAZUELA,35,FEMENINO,07,10,11
93363,VICHADA,PUERTO CARREÑO (CT),EL ESTADIO,33,FEMENINO,08,17,20
93364,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,48,MASCULINO,08,21,0
93365,VICHADA,PUERTO CARREÑO (CT),SANTA TERESITA,43,FEMENINO,09,22,10
93366,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,60,MASCULINO,09,25,18
93367,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,62,MASCULINO,11,07,1
93368,VICHADA,PUERTO CARREÑO (CT),EL ESTADIO,31,MASCULINO,11,09,17
93369,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,33,FEMENINO,12,13,20
93372,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,31,FEMENINO,12,28,13
94342,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,52,MASCULINO,03,03,2
94343,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,63,MASCULINO,04,06,18
94344,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,44,MASCULINO,11,29,20
94345,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,34,MASCULINO,12,18,17
101359,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,26,MASCULINO,01,13,8
101360,VICHADA,PUERTO CARREÑO (CT),ESPERANZA,65,MASCULINO,01,15,15
101361,VICHADA,PUERTO CARREÑO (CT),TAMARINDO,52,FEMENINO,02,19,20
101362,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,29,FEMENINO,03,09,18
101363,VICHADA,PUERTO CARREÑO (CT),ESPERANZA,29,FEMENINO,03,16,21
101364,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,44,MASCULINO,04,03,19
101365,VICHADA,PUERTO CARREÑO (CT),CAMILO CORTEZ,15,MASCULINO,04,03,19
101366,VICHADA,PUERTO CARREÑO (CT),MATEO,38,FEMENINO,04,10,21
101367,VICHADA,PUERTO CARREÑO (CT),EL PUERTO,32,MASCULINO,05,06,16
101368,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,21,MASCULINO,05,23,15
101369,VICHADA,PUERTO CARREÑO (CT),LAS GRANJAS,20,MASCULINO,05,23,14
101370,VICHADA,PUERTO CARREÑO (CT),SIMON BOLIVAR,46,MASCULINO,06,03,1
101371,VICHADA,PUERTO CARREÑO (CT),EL TRIANGULO,19,MASCULINO,09,13,23
101372,VICHADA,PUERTO CARREÑO (CT),LA PLAZUELA,31,MASCULINO,11,19,10
146227,VICHADA,PUERTO CARREÑO (CT),EL CENTRO,23,MASCULINO,01,25,8
146228,VICHADA,PUERTO CARREÑO (CT),CALARCA,54,MASCULINO,02,04,0
146229,VICHADA,PUERTO CARREÑO (CT),CALARCA,42,MASCULINO,02,12,15
146230,VICHADA,PUERTO CARREÑO (CT),CENTRO,26,MASCULINO,02,19,15
