,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
29,CHOCÓ,QUIBDÓ (CT),EL JARDIN,25.0,MASCULINO,01,01,12
30,CHOCÓ,QUIBDÓ (CT),KENNEDY,40.0,MASCULINO,01,01,8
378,CHOCÓ,QUIBDÓ (CT),NIÑO JESUS,60.0,MASCULINO,01,04,10
380,CHOCÓ,QUIBDÓ (CT),ALAMEDA REYES,31.0,MASCULINO,01,04,10
904,CHOCÓ,QUIBDÓ (CT),KENNEDY,47.0,MASCULINO,01,07,7
905,CHOCÓ,QUIBDÓ (CT),SANTA ANA,40.0,MASCULINO,01,07,10
1107,CHOCÓ,QUIBDÓ (CT),SAN JUDAS,20.0,FEMENINO,01,08,23
1445,CHOCÓ,QUIBDÓ (CT),CENTRO,29.0,MASCULINO,01,10,13
1446,CHOCÓ,QUIBDÓ (CT),ROMA,29.0,MASCULINO,01,10,13
1723,CHOCÓ,QUIBDÓ (CT),LAS PALMAS,22.0,MASCULINO,01,12,16
9399,CHOCÓ,QUIBDÓ (CT),SILENCIO,23.0,MASCULINO,02,22,12
9400,CHOCÓ,QUIBDÓ (CT),SAN JOSE,34.0,FEMENINO,02,22,11
9960,CHOCÓ,QUIBDÓ (CT),CESAR CONTO,39.0,MASCULINO,02,25,15
10161,CHOCÓ,QUIBDÓ (CT),SAN JOSE,32.0,MASCULINO,02,26,12
11366,CHOCÓ,QUIBDÓ (CT),ALAMEDA REYES,36.0,FEMENINO,03,05,10
11753,CHOCÓ,QUIBDÓ (CT),KENNEDY,51.0,FEMENINO,03,07,3
12472,CHOCÓ,QUIBDÓ (CT),NICOLAS MEDRANO,48.0,MASCULINO,03,11,18
13818,CHOCÓ,QUIBDÓ (CT),CENTRO,39.0,FEMENINO,03,19,11
13819,CHOCÓ,QUIBDÓ (CT),CHAMBLUN,31.0,MASCULINO,03,19,17
13820,CHOCÓ,QUIBDÓ (CT),CENTRO,22.0,MASCULINO,03,19,12
13976,CHOCÓ,QUIBDÓ (CT),SAN JUDAS,38.0,MASCULINO,03,20,17
14551,CHOCÓ,QUIBDÓ (CT),CRISTO REY,35.0,MASCULINO,03,24,16
14719,CHOCÓ,QUIBDÓ (CT),CENTRO,40.0,FEMENINO,03,25,11
15090,CHOCÓ,QUIBDÓ (CT),CENTRO,21.0,MASCULINO,03,27,14
15091,CHOCÓ,QUIBDÓ (CT),ANGELES,31.0,FEMENINO,03,27,12
15093,CHOCÓ,QUIBDÓ (CT),NICOLAS MEDRANO,24.0,FEMENINO,03,27,19
16075,CHOCÓ,QUIBDÓ (CT),CENTRO,35.0,FEMENINO,04,03,3
16076,CHOCÓ,QUIBDÓ (CT),NICOLAS MEDRANO,31.0,MASCULINO,04,03,3
16331,CHOCÓ,QUIBDÓ (CT),EL JARDIN,52.0,FEMENINO,04,05,19
16545,CHOCÓ,QUIBDÓ (CT),CRISTO REY,33.0,MASCULINO,04,06,18
16546,CHOCÓ,QUIBDÓ (CT),CRISTO REY,33.0,MASCULINO,04,06,9
16894,CHOCÓ,QUIBDÓ (CT),CENTRO,72.0,MASCULINO,04,08,2
16895,CHOCÓ,QUIBDÓ (CT),ANGELES,37.0,FEMENINO,04,08,1
17249,CHOCÓ,QUIBDÓ (CT),SAMPER,40.0,FEMENINO,04,10,2
17250,CHOCÓ,QUIBDÓ (CT),CHAMBLUN,24.0,MASCULINO,04,10,7
17564,CHOCÓ,QUIBDÓ (CT),SILENCIO,63.0,MASCULINO,04,12,7
17565,CHOCÓ,QUIBDÓ (CT),CRISTO REY,49.0,MASCULINO,04,12,21
17566,CHOCÓ,QUIBDÓ (CT),JULIO FIGUEROA VILLA,33.0,MASCULINO,04,12,13
17755,CHOCÓ,QUIBDÓ (CT),ALAMEDA REYES,18.0,MASCULINO,04,13,10
17927,CHOCÓ,QUIBDÓ (CT),ANGELES,48.0,FEMENINO,04,14,1
18100,CHOCÓ,QUIBDÓ (CT),HUAPANGO,14.0,FEMENINO,04,15,15
18305,CHOCÓ,QUIBDÓ (CT),TOMAS PEREZ,51.0,FEMENINO,04,16,2
18306,CHOCÓ,QUIBDÓ (CT),EL PIÑAL,24.0,MASCULINO,04,16,20
18672,CHOCÓ,QUIBDÓ (CT),ZONA MINERA,28.0,MASCULINO,04,18,9
18673,CHOCÓ,QUIBDÓ (CT),NICOLAS MEDRANO,24.0,MASCULINO,04,18,13
18674,CHOCÓ,QUIBDÓ (CT),SILENCIO,15.0,FEMENINO,04,18,21
18675,CHOCÓ,QUIBDÓ (CT),SAN FRANCISCO DE MEDRANO,34.0,MASCULINO,04,18,6
18676,CHOCÓ,QUIBDÓ (CT),CESAR CONTO,37.0,FEMENINO,04,18,13
18809,CHOCÓ,QUIBDÓ (CT),KENNEDY,34.0,MASCULINO,04,19,16
19164,CHOCÓ,QUIBDÓ (CT),SUBESTACION,48.0,MASCULINO,04,21,8
19165,CHOCÓ,QUIBDÓ (CT),NIÑO JESUS,26.0,MASCULINO,04,21,21
19730,CHOCÓ,QUIBDÓ (CT),EL JARDIN,26.0,MASCULINO,04,24,4
20214,CHOCÓ,QUIBDÓ (CT),ANGELES,36.0,MASCULINO,04,27,7
20598,CHOCÓ,QUIBDÓ (CT),BUENOS AIRES,55.0,MASCULINO,04,29,8
20791,CHOCÓ,QUIBDÓ (CT),BUENOS AIRES,61.0,FEMENINO,04,30,6
20792,CHOCÓ,QUIBDÓ (CT),CENTRO,61.0,FEMENINO,04,30,6
21151,CHOCÓ,QUIBDÓ (CT),NICOLAS MEDRANO,17.0,FEMENINO,05,02,10
21152,CHOCÓ,QUIBDÓ (CT),SAN VICENTE,35.0,MASCULINO,05,02,7
21469,CHOCÓ,QUIBDÓ (CT),CRISTO REY,24.0,FEMENINO,05,04,20
22041,CHOCÓ,QUIBDÓ (CT),CESAR CONTO,48.0,MASCULINO,05,07,20
24153,CHOCÓ,QUIBDÓ (CT),ROMA,21.0,MASCULINO,05,19,11
26650,CHOCÓ,QUIBDÓ (CT),SAN MARTIN,26.0,MASCULINO,06,03,23
27206,CHOCÓ,QUIBDÓ (CT),CRISTO REY,25.0,MASCULINO,06,06,12
28001,CHOCÓ,QUIBDÓ (CT),SAN VICENTE,30.0,MASCULINO,06,11,0
28211,CHOCÓ,QUIBDÓ (CT),AMERICAS,24.0,FEMENINO,06,12,21
28871,CHOCÓ,QUIBDÓ (CT),KENNEDY,60.0,MASCULINO,06,16,10
28872,CHOCÓ,QUIBDÓ (CT),BUENOS AIRES,33.0,FEMENINO,06,16,15
34719,CHOCÓ,QUIBDÓ (CT),EL JARDIN,43.0,FEMENINO,07,21,15
37581,CHOCÓ,QUIBDÓ (CT),CENTRO,14.0,MASCULINO,08,06,20
38488,CHOCÓ,QUIBDÓ (CT),LAS MARGARITAS,37.0,FEMENINO,08,12,14
38833,CHOCÓ,QUIBDÓ (CT),CESAR CONTO,18.0,MASCULINO,08,14,19
38834,CHOCÓ,QUIBDÓ (CT),EL JARDIN,35.0,FEMENINO,08,14,14
40803,CHOCÓ,QUIBDÓ (CT),AURORA,35.0,FEMENINO,08,26,18
43348,CHOCÓ,QUIBDÓ (CT),CENTRO,22.0,MASCULINO,09,10,11
44047,CHOCÓ,QUIBDÓ (CT),CENTRO,20.0,FEMENINO,09,14,20
46053,CHOCÓ,QUIBDÓ (CT),CENTRO,18.0,MASCULINO,09,25,4
46657,CHOCÓ,QUIBDÓ (CT),COHIMBRA,27.0,MASCULINO,09,29,1
47398,CHOCÓ,QUIBDÓ (CT),ALAMEDA REYES,23.0,MASCULINO,10,03,11
47703,CHOCÓ,QUIBDÓ (CT),CENTRO,18.0,MASCULINO,10,05,3
48085,CHOCÓ,QUIBDÓ (CT),CENTRO,18.0,FEMENINO,10,07,10
49525,CHOCÓ,QUIBDÓ (CT),KENNEDY,31.0,FEMENINO,10,15,20
50445,CHOCÓ,QUIBDÓ (CT),CENTRO,18.0,MASCULINO,10,21,10
50952,CHOCÓ,QUIBDÓ (CT),CARAÑO,18.0,FEMENINO,10,24,16
51711,CHOCÓ,QUIBDÓ (CT),NIÑO JESUS,18.0,FEMENINO,10,29,23
53631,CHOCÓ,QUIBDÓ (CT),LAS MARGARITAS,35.0,FEMENINO,11,10,9
54156,CHOCÓ,QUIBDÓ (CT),SANTO DOMINGO,18.0,MASCULINO,11,13,9
