,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
626,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO CANTERAS,39.0,FEMENINO,01,05,19
1199,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR ELSY BAR,42.0,MASCULINO,01,08,16
1200,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO MORRIS LANDING,53.0,FEMENINO,01,08,8
1201,SAN ANDRÉS,SAN ANDRÉS (CT),LOMA BARRACK,43.0,FEMENINO,01,08,16
1359,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO MORRIS LANDING,53.0,FEMENINO,01,09,14
2622,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,47.0,FEMENINO,01,16,0
3851,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO NATANIA,45.0,FEMENINO,01,23,23
3994,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO SCHOOL HOUSE,42.0,FEMENINO,01,24,3
4506,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO NATANIA,31.0,MASCULINO,01,27,18
5484,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO ATLANTICO,22.0,MASCULINO,02,01,1
6708,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,19.0,MASCULINO,02,07,13
8015,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,29.0,MASCULINO,02,14,23
9489,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,43.0,FEMENINO,02,22,13
9657,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO SARIE BAY,25.0,FEMENINO,02,23,17
11266,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO NATANIA,51.0,FEMENINO,03,04,5
11267,SAN ANDRÉS,SAN ANDRÉS (CT),CABAÑAS DE ALTA MAR,29.0,MASCULINO,03,04,15
12360,SAN ANDRÉS,SAN ANDRÉS (CT),LOMA LINVAL,52.0,MASCULINO,03,10,21
13378,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO MORRIS LANDING,24.0,FEMENINO,03,16,18
13529,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,36.0,FEMENINO,03,17,17
14052,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,29.0,FEMENINO,03,20,2
14053,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR TOM HOOKER,29.0,MASCULINO,03,20,14
14181,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO NUEVA GUINEA,26.0,MASCULINO,03,21,14
14446,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO ATLANTICO,55.0,MASCULINO,03,23,19
15780,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO OBRERO,28.0,MASCULINO,03,31,22
16625,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR COLISEO SAN LUIS,40.0,FEMENINO,04,06,21
17157,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,42.0,MASCULINO,04,09,18
21061,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR COLISEO SAN LUIS,18.0,FEMENINO,05,01,12
25927,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR COLISEO SAN LUIS,33.0,MASCULINO,05,29,10
26156,SAN ANDRÉS,SAN ANDRÉS (CT),LOMA LINVAL,28.0,MASCULINO,05,31,17
27122,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR COLISEO SAN LUIS,23.0,MASCULINO,06,05,10
27357,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO GAVIOTAS,18.0,FEMENINO,06,07,18
27882,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO EL CLIFF,35.0,MASCULINO,06,10,21
27883,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO DAVIS HILL,19.0,MASCULINO,06,10,13
28954,SAN ANDRÉS,SAN ANDRÉS (CT),VIETNAN,32.0,MASCULINO,06,16,11
28955,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR HOYO SOPLADOR,44.0,FEMENINO,06,16,16
29154,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR EL RANCHO,55.0,MASCULINO,06,17,16
29155,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,19.0,FEMENINO,06,17,21
31672,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO GAVIOTAS,20.0,MASCULINO,07,02,14
31868,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO SAGRADA FAMILIA,40.0,FEMENINO,07,03,22
31869,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO BIGTH,40.0,FEMENINO,07,03,22
31870,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR HANSA,45.0,MASCULINO,07,03,22
32021,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,23.0,FEMENINO,07,04,14
32022,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,46.0,MASCULINO,07,04,0
32841,SAN ANDRÉS,SAN ANDRÉS (CT),LOMA COVE,61.0,FEMENINO,07,09,20
32842,SAN ANDRÉS,SAN ANDRÉS (CT),LOMA COVE,18.0,FEMENINO,07,09,20
33028,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,18.0,MASCULINO,07,10,7
33029,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,19.0,MASCULINO,07,10,22
33161,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO ALMENDRO,26.0,MASCULINO,07,11,22
33323,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO ALMENDRO,26.0,MASCULINO,07,12,14
33505,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO SANTANA,32.0,FEMENINO,07,13,15
33847,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO BACK ROAD,38.0,FEMENINO,07,15,13
34205,SAN ANDRÉS,SAN ANDRÉS (CT),SECTOR CENTRO,46.0,MASCULINO,07,17,21
34206,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO NATANIA,18.0,MASCULINO,07,17,19
34207,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO COCAL,24.0,FEMENINO,07,17,18
34208,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO MODELO I,27.0,FEMENINO,07,17,17
35181,SAN ANDRÉS,SAN ANDRÉS (CT),BARRIO MODELO I,32.0,MASCULINO,07,23,17
