,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
1337,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO PORVENIR,63.0,FEMENINO,01,09,20
1479,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),VEREDA  AGUA BONITA,18.0,MASCULINO,01,10,18
1980,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),AVENIDA EL RETORNO,23.0,MASCULINO,01,13,12
1981,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO EL CENTRO,24.0,FEMENINO,01,13,16
2928,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),SALIDA ARAZA,44.0,FEMENINO,01,18,18
4306,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO LA GRANJA,40.0,MASCULINO,01,26,10
4710,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO LA ESPERANZA,24.0,FEMENINO,01,28,10
6327,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO SANTA ROSITA,26.0,MASCULINO,02,05,0
7048,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),VEREDA TROCHA GANADERA,65.0,MASCULINO,02,09,19
7444,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),VEREDA  AGUA BONITA,49.0,MASCULINO,02,11,15
7840,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO 20 DE JULIO,65.0,MASCULINO,02,13,19
8341,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO LA GRANJA,46.0,FEMENINO,02,16,11
9636,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO PORVENIR,17.0,FEMENINO,02,23,16
10032,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),VIA BATALLON,27.0,MASCULINO,02,25,5
11951,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),VEREDA BARRANCO CEIBA,35.0,MASCULINO,03,08,8
12545,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),VIA BATALLON,18.0,MASCULINO,03,11,19
13509,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO PORVENIR,69.0,FEMENINO,03,17,15
14164,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO PROVIDENCIA,22.0,MASCULINO,03,21,1
15601,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO SAN JORGE,32.0,MASCULINO,03,30,0
17467,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO PROVIDENCIA,20.0,MASCULINO,04,11,21
20674,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),VEREDA TOMANCHIPAN,49.0,FEMENINO,04,29,0
21543,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),VIA BATALLON,24.0,MASCULINO,05,04,14
22121,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO LA ESPERANZA,47.0,FEMENINO,05,07,11
23863,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),VEREDAS,48.0,MASCULINO,05,17,18
25904,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO LA ESPERANZA,28.0,MASCULINO,05,29,14
30764,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),AVENIDA EL RETORNO,23.0,MASCULINO,06,27,8
34332,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO LA ESPERANZA,26.0,MASCULINO,07,18,5
36191,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO PORVENIR,34.0,MASCULINO,07,29,13
38373,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO BELLO HORIZONTE,45.0,MASCULINO,08,11,18
39448,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO LA ESPERANZA,22.0,MASCULINO,08,18,21
39821,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO LA ESPERANZA,18.0,MASCULINO,08,20,16
42714,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),BARRIO PORVENIR,61.0,MASCULINO,09,06,18
