,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
169,MAGDALENA,SANTA MARTA (CT),OLIVO,18.0,MASCULINO,01,02,19
272,MAGDALENA,SANTA MARTA (CT),JUAN XXIII,17.0,FEMENINO,01,03,12
273,MAGDALENA,SANTA MARTA (CT),LOS ANGELES,39.0,MASCULINO,01,03,9
274,MAGDALENA,SANTA MARTA (CT),BELLO HORIZONTE,20.0,MASCULINO,01,03,2
275,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,37.0,MASCULINO,01,03,7
276,MAGDALENA,SANTA MARTA (CT),CENTRO,31.0,MASCULINO,01,03,1
444,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,43.0,MASCULINO,01,04,19
445,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,35.0,MASCULINO,01,04,17
446,MAGDALENA,SANTA MARTA (CT),PESCAITO,67.0,MASCULINO,01,04,7
447,MAGDALENA,SANTA MARTA (CT),GOENAGA,65.0,MASCULINO,01,04,6
448,MAGDALENA,SANTA MARTA (CT),LA ESPERANZA,33.0,MASCULINO,01,04,17
782,MAGDALENA,SANTA MARTA (CT),JARDIN,29.0,FEMENINO,01,06,12
783,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,26.0,MASCULINO,01,06,17
970,MAGDALENA,SANTA MARTA (CT),TAGANGA,29.0,MASCULINO,01,07,11
971,MAGDALENA,SANTA MARTA (CT),LIBERTADOR,21.0,FEMENINO,01,07,19
972,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,32.0,FEMENINO,01,07,20
973,MAGDALENA,SANTA MARTA (CT),BAVARIA,20.0,MASCULINO,01,07,17
974,MAGDALENA,SANTA MARTA (CT),BAVARIA,64.0,MASCULINO,01,07,21
1173,MAGDALENA,SANTA MARTA (CT),LAS MALVINAS,35.0,MASCULINO,01,08,14
1174,MAGDALENA,SANTA MARTA (CT),TAGANGA,50.0,MASCULINO,01,08,18
1175,MAGDALENA,SANTA MARTA (CT),BAVARIA COUNTRY,27.0,MASCULINO,01,08,20
1176,MAGDALENA,SANTA MARTA (CT),MIRAFLORES,27.0,MASCULINO,01,08,7
1342,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,31.0,MASCULINO,01,09,19
1343,MAGDALENA,SANTA MARTA (CT),LA ESPERANZA,24.0,FEMENINO,01,09,23
1344,MAGDALENA,SANTA MARTA (CT),ZONA MERCADO,26.0,FEMENINO,01,09,9
1345,MAGDALENA,SANTA MARTA (CT),ALCAZARES,46.0,FEMENINO,01,09,5
1486,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,39.0,MASCULINO,01,10,20
1487,MAGDALENA,SANTA MARTA (CT),CENTRO,33.0,FEMENINO,01,10,19
1624,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,39.0,MASCULINO,01,11,20
1625,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,46.0,MASCULINO,01,11,1
1626,MAGDALENA,SANTA MARTA (CT),LOS TRUPILLOS,35.0,MASCULINO,01,11,13
1783,MAGDALENA,SANTA MARTA (CT),CENTRO,48.0,MASCULINO,01,12,15
1784,MAGDALENA,SANTA MARTA (CT),CENTRO,47.0,FEMENINO,01,12,10
1785,MAGDALENA,SANTA MARTA (CT),ALMENDROS,33.0,MASCULINO,01,12,15
1786,MAGDALENA,SANTA MARTA (CT),CENTRO,27.0,FEMENINO,01,12,12
1990,MAGDALENA,SANTA MARTA (CT),CENTRO,52.0,MASCULINO,01,13,15
2395,MAGDALENA,SANTA MARTA (CT),SANTA CECILIA,23.0,MASCULINO,01,15,22
2396,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,45.0,MASCULINO,01,15,16
2397,MAGDALENA,SANTA MARTA (CT),NUEVO JARDIN,19.0,FEMENINO,01,15,20
2600,MAGDALENA,SANTA MARTA (CT),CENTRO,26.0,FEMENINO,01,16,11
2931,MAGDALENA,SANTA MARTA (CT),LOMA FRESCA,57.0,MASCULINO,01,18,19
2932,MAGDALENA,SANTA MARTA (CT),ALMENDROS,34.0,FEMENINO,01,18,7
3114,MAGDALENA,SANTA MARTA (CT),ZONA MERCADO,28.0,MASCULINO,01,19,16
3294,MAGDALENA,SANTA MARTA (CT),RODADERO TRADICIONAL,39.0,MASCULINO,01,20,19
3478,MAGDALENA,SANTA MARTA (CT),CENTRO,51.0,MASCULINO,01,21,15
3657,MAGDALENA,SANTA MARTA (CT),TAGANGA,29.0,FEMENINO,01,22,15
3658,MAGDALENA,SANTA MARTA (CT),ALMENDROS,32.0,FEMENINO,01,22,17
3834,MAGDALENA,SANTA MARTA (CT),CENTRO,41.0,MASCULINO,01,23,13
3835,MAGDALENA,SANTA MARTA (CT),NUEVO JARDIN,23.0,FEMENINO,01,23,19
