,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
87,SUCRE,SINCELEJO (CT),20 DE JULIO,38.0,FEMENINO,01,01,21
88,SUCRE,SINCELEJO (CT),PIONEROS,48.0,FEMENINO,01,01,8
90,SUCRE,SINCELEJO (CT),PARQUE SANTADER,19.0,MASCULINO,01,01,4
91,SUCRE,SINCELEJO (CT),LA TERRAZA,25.0,MASCULINO,01,01,2
92,SUCRE,SINCELEJO (CT),CENTRO,29.0,MASCULINO,01,01,23
93,SUCRE,SINCELEJO (CT),CRUZ DEL COLORADO,43.0,FEMENINO,01,01,0
187,SUCRE,SINCELEJO (CT),CENTRO,37.0,FEMENINO,01,02,9
482,SUCRE,SINCELEJO (CT),CALLE LA PAJUELA,27.0,MASCULINO,01,04,20
638,SUCRE,SINCELEJO (CT),BOTERO,25.0,MASCULINO,01,05,11
828,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,26.0,MASCULINO,01,06,12
829,SUCRE,SINCELEJO (CT),PIONEROS,43.0,MASCULINO,01,06,10
830,SUCRE,SINCELEJO (CT),EL BOSQUE,49.0,FEMENINO,01,06,15
831,SUCRE,SINCELEJO (CT),LOS ANDES,40.0,MASCULINO,01,06,13
832,SUCRE,SINCELEJO (CT),PALERMO,42.0,MASCULINO,01,06,1
1014,SUCRE,SINCELEJO (CT),20 DE JULIO,29.0,MASCULINO,01,07,16
1015,SUCRE,SINCELEJO (CT),CARIBE,29.0,FEMENINO,01,07,12
1016,SUCRE,SINCELEJO (CT),CIUDADELA SUIZA,29.0,MASCULINO,01,07,6
1017,SUCRE,SINCELEJO (CT),SAN CARLOS,19.0,MASCULINO,01,07,3
1221,SUCRE,SINCELEJO (CT),URB. LOS TEJARES,25.0,MASCULINO,01,08,16
1222,SUCRE,SINCELEJO (CT),CENTRO,39.0,FEMENINO,01,08,16
1223,SUCRE,SINCELEJO (CT),RITA ARROZOLA,45.0,MASCULINO,01,08,1
1383,SUCRE,SINCELEJO (CT),BOSTON,32.0,FEMENINO,01,09,10
1384,SUCRE,SINCELEJO (CT),LAS MERCEDES,71.0,MASCULINO,01,09,17
1385,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,23.0,MASCULINO,01,09,2
1519,SUCRE,SINCELEJO (CT),ARGELIA,53.0,MASCULINO,01,10,16
1520,SUCRE,SINCELEJO (CT),20 DE ENERO,29.0,MASCULINO,01,10,10
1521,SUCRE,SINCELEJO (CT),LA BASTILLA,40.0,MASCULINO,01,10,4
1522,SUCRE,SINCELEJO (CT),LOS LIBERTADORES,27.0,MASCULINO,01,10,23
1647,SUCRE,SINCELEJO (CT),SEVILLA,19.0,FEMENINO,01,11,20
1648,SUCRE,SINCELEJO (CT),20 DE JULIO,16.0,MASCULINO,01,11,15
1649,SUCRE,SINCELEJO (CT),VILLA  MADY,20.0,MASCULINO,01,11,21
1650,SUCRE,SINCELEJO (CT),EL MAIZAL,34.0,MASCULINO,01,11,6
1651,SUCRE,SINCELEJO (CT),EL SALVADOR,45.0,FEMENINO,01,11,3
1839,SUCRE,SINCELEJO (CT),PIONEROS,33.0,FEMENINO,01,12,10
1840,SUCRE,SINCELEJO (CT),SIERRA FLOR,34.0,MASCULINO,01,12,10
1841,SUCRE,SINCELEJO (CT),FORD,52.0,MASCULINO,01,12,16
1842,SUCRE,SINCELEJO (CT),URB. VILLA PADUA,39.0,FEMENINO,01,12,5
1843,SUCRE,SINCELEJO (CT),MAJAGUAL,19.0,FEMENINO,01,12,14
1844,SUCRE,SINCELEJO (CT),CENTRO,50.0,MASCULINO,01,12,16
1845,SUCRE,SINCELEJO (CT),FORD,26.0,MASCULINO,01,12,19
1846,SUCRE,SINCELEJO (CT),EL CORTIJO,26.0,FEMENINO,01,12,16
2030,SUCRE,SINCELEJO (CT),VERSALLES,20.0,FEMENINO,01,13,10
2222,SUCRE,SINCELEJO (CT),SAN CARLOS,40.0,MASCULINO,01,14,9
2223,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,38.0,MASCULINO,01,14,18
2447,SUCRE,SINCELEJO (CT),MOCHILA,29.0,MASCULINO,01,15,10
2448,SUCRE,SINCELEJO (CT),CENTRO,39.0,FEMENINO,01,15,12
2449,SUCRE,SINCELEJO (CT),MAJAGUAL,23.0,MASCULINO,01,15,18
2450,SUCRE,SINCELEJO (CT),CENTRO,36.0,FEMENINO,01,15,17
2451,SUCRE,SINCELEJO (CT),MOCHILA,43.0,MASCULINO,01,15,16
2642,SUCRE,SINCELEJO (CT),LA TRINIDAD,21.0,MASCULINO,01,16,18
2643,SUCRE,SINCELEJO (CT),AV. LUIS CARLOS GALAN,45.0,MASCULINO,01,16,18
2644,SUCRE,SINCELEJO (CT),MAJAGUAL,19.0,MASCULINO,01,16,19
2645,SUCRE,SINCELEJO (CT),AV. OKALA,28.0,FEMENINO,01,16,6
2793,SUCRE,SINCELEJO (CT),LA TERRAZA,20.0,FEMENINO,01,17,17
2794,SUCRE,SINCELEJO (CT),LA TERRAZA,22.0,FEMENINO,01,17,17
2795,SUCRE,SINCELEJO (CT),CENTRO,57.0,MASCULINO,01,17,23
2970,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,37.0,MASCULINO,01,18,15
2971,SUCRE,SINCELEJO (CT),LA TRINIDAD,23.0,FEMENINO,01,18,16
2972,SUCRE,SINCELEJO (CT),VILLA JUANA,40.0,MASCULINO,01,18,15
2973,SUCRE,SINCELEJO (CT),EL SOCORRO,19.0,FEMENINO,01,18,16
2974,SUCRE,SINCELEJO (CT),SAN LUIS,29.0,MASCULINO,01,18,21
2975,SUCRE,SINCELEJO (CT),AV. LUIS CARLOS GALAN,20.0,FEMENINO,01,18,18
2976,SUCRE,SINCELEJO (CT),URB. UNIVERSAL,23.0,FEMENINO,01,18,15
2977,SUCRE,SINCELEJO (CT),LA TRINIDAD,32.0,MASCULINO,01,18,2
3145,SUCRE,SINCELEJO (CT),LAS DELICIAS,25.0,FEMENINO,01,19,16
3146,SUCRE,SINCELEJO (CT),LAS DELICIAS,38.0,FEMENINO,01,19,16
3147,SUCRE,SINCELEJO (CT),MAJAGUAL,40.0,MASCULINO,01,19,22
3148,SUCRE,SINCELEJO (CT),SANTA CECILIA,39.0,MASCULINO,01,19,5
3149,SUCRE,SINCELEJO (CT),16 DE ABRIL,67.0,MASCULINO,01,19,17
3150,SUCRE,SINCELEJO (CT),CENTRO,42.0,MASCULINO,01,19,16
3151,SUCRE,SINCELEJO (CT),BOSTON,20.0,MASCULINO,01,19,16
3327,SUCRE,SINCELEJO (CT),SAN ROQUE,54.0,MASCULINO,01,20,0
3328,SUCRE,SINCELEJO (CT),SAN ANTONIO,39.0,FEMENINO,01,20,19
3329,SUCRE,SINCELEJO (CT),LAS AMERICAS,20.0,FEMENINO,01,20,21
3330,SUCRE,SINCELEJO (CT),SECTOR SALIDA A TOLU,42.0,FEMENINO,01,20,23
3331,SUCRE,SINCELEJO (CT),VIDA,42.0,MASCULINO,01,20,22
3332,SUCRE,SINCELEJO (CT),EL MAIZAL,48.0,MASCULINO,01,20,15
3333,SUCRE,SINCELEJO (CT),SAN FRANCISCO,37.0,FEMENINO,01,20,18
3334,SUCRE,SINCELEJO (CT),COSTA AZUL,27.0,MASCULINO,01,20,0
3335,SUCRE,SINCELEJO (CT),SECTOR SALIDA A TOLU,42.0,FEMENINO,01,20,21
3521,SUCRE,SINCELEJO (CT),16 DE ABRIL,29.0,FEMENINO,01,21,18
3522,SUCRE,SINCELEJO (CT),SAN VICENTE,20.0,FEMENINO,01,21,3
3523,SUCRE,SINCELEJO (CT),CENTRO,40.0,MASCULINO,01,21,2
3524,SUCRE,SINCELEJO (CT),BOTERO,27.0,MASCULINO,01,21,1
3525,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,29.0,FEMENINO,01,21,11
3526,SUCRE,SINCELEJO (CT),ALTO FORD,41.0,MASCULINO,01,21,14
3527,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,34.0,FEMENINO,01,21,11
3699,SUCRE,SINCELEJO (CT),CENTRO,40.0,FEMENINO,01,22,12
3700,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,30.0,FEMENINO,01,22,20
3701,SUCRE,SINCELEJO (CT),MAJAGUAL,41.0,MASCULINO,01,22,0
3702,SUCRE,SINCELEJO (CT),SAN ANTONIO,24.0,FEMENINO,01,22,19
3703,SUCRE,SINCELEJO (CT),URB. LOS TEJARES,36.0,FEMENINO,01,22,16
3704,SUCRE,SINCELEJO (CT),MAJAGUAL,27.0,FEMENINO,01,22,23
3879,SUCRE,SINCELEJO (CT),20 DE JULIO,34.0,MASCULINO,01,23,18
3880,SUCRE,SINCELEJO (CT),LA SELVA,31.0,FEMENINO,01,23,3
3881,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,38.0,MASCULINO,01,23,16
3882,SUCRE,SINCELEJO (CT),PUERTO ESCONDIDO,21.0,FEMENINO,01,23,15
4008,SUCRE,SINCELEJO (CT),SECTOR SALIDA COROZAL,42.0,MASCULINO,01,24,3
4009,SUCRE,SINCELEJO (CT),MAJAGUAL,56.0,MASCULINO,01,24,5
4010,SUCRE,SINCELEJO (CT),CARIBE,24.0,MASCULINO,01,24,3
4011,SUCRE,SINCELEJO (CT),AV. LAS PEÑITAS,38.0,MASCULINO,01,24,12
4012,SUCRE,SINCELEJO (CT),ESPAÑA,40.0,FEMENINO,01,24,20
4170,SUCRE,SINCELEJO (CT),SAN JOSE,49.0,MASCULINO,01,25,10
4171,SUCRE,SINCELEJO (CT),VERBEL,15.0,FEMENINO,01,25,8
4172,SUCRE,SINCELEJO (CT),FORD,46.0,MASCULINO,01,25,16
4173,SUCRE,SINCELEJO (CT),CENTRO,25.0,FEMENINO,01,25,9
4174,SUCRE,SINCELEJO (CT),SAN RAFAEL,22.0,MASCULINO,01,25,4
4175,SUCRE,SINCELEJO (CT),CENTRO,38.0,FEMENINO,01,25,10
4176,SUCRE,SINCELEJO (CT),URB. IPANEMA,20.0,FEMENINO,01,25,14
4177,SUCRE,SINCELEJO (CT),LA TERRAZA,54.0,FEMENINO,01,25,6
4351,SUCRE,SINCELEJO (CT),EL MAIZAL,28.0,FEMENINO,01,26,10
4352,SUCRE,SINCELEJO (CT),LA MANO DE DIOS,22.0,FEMENINO,01,26,9
4526,SUCRE,SINCELEJO (CT),COSTA AZUL,18.0,MASCULINO,01,27,15
4527,SUCRE,SINCELEJO (CT),URB. IPANEMA,25.0,MASCULINO,01,27,16
4528,SUCRE,SINCELEJO (CT),LAS AMERICAS,26.0,MASCULINO,01,27,5
4529,SUCRE,SINCELEJO (CT),LA PALMA,19.0,FEMENINO,01,27,17
