,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
18,BOYACÁ,TUNJA (CT),BARRIO BOLIVAR,24.0,MASCULINO,01,01,12
129,BOYACÁ,TUNJA (CT),BARRIO LOS ROSALES,49.0,MASCULINO,01,02,19
359,BOYACÁ,TUNJA (CT),CENTRO,49.0,MASCULINO,01,04,11
360,BOYACÁ,TUNJA (CT),BARRIO LA NIEVES,28.0,MASCULINO,01,04,16
361,BOYACÁ,TUNJA (CT),CENTRO,43.0,MASCULINO,01,04,15
547,BOYACÁ,TUNJA (CT),BARRIO LIBERTADOR,19.0,MASCULINO,01,05,16
702,BOYACÁ,TUNJA (CT),CENTRO,34.0,FEMENINO,01,06,14
703,BOYACÁ,TUNJA (CT),CENTRO,52.0,MASCULINO,01,06,19
704,BOYACÁ,TUNJA (CT),BARRIO SANTA INES,16.0,MASCULINO,01,06,2
886,BOYACÁ,TUNJA (CT),CENTRO,62.0,FEMENINO,01,07,18
1083,BOYACÁ,TUNJA (CT),CENTRO,46.0,FEMENINO,01,08,11
1273,BOYACÁ,TUNJA (CT),BARRIO POPULAR,53.0,MASCULINO,01,09,17
1274,BOYACÁ,TUNJA (CT),TERMINAL DE TRANSPORTES,21.0,FEMENINO,01,09,19
1572,BOYACÁ,TUNJA (CT),URBANIZACION URAZANDY,37.0,FEMENINO,01,11,15
1702,BOYACÁ,TUNJA (CT),CEMENTERIO JARDINES,26.0,MASCULINO,01,12,1
1703,BOYACÁ,TUNJA (CT),CENTRO,38.0,MASCULINO,01,12,16
1904,BOYACÁ,TUNJA (CT),BARRIO MUISCAS,47.0,MASCULINO,01,13,8
1905,BOYACÁ,TUNJA (CT),BARRIO SAN LAZARO,57.0,MASCULINO,01,13,19
2097,BOYACÁ,TUNJA (CT),TERMINAL DE TRANSPORTES,30.0,MASCULINO,01,14,20
2098,BOYACÁ,TUNJA (CT),BARRIO BOCHICA,50.0,FEMENINO,01,14,23
2099,BOYACÁ,TUNJA (CT),PLAZA DE BOLIVAR,15.0,MASCULINO,01,14,23
2100,BOYACÁ,TUNJA (CT),BARRIO CONSUELO,33.0,FEMENINO,01,14,22
2101,BOYACÁ,TUNJA (CT),BARRIO LA NIEVES,26.0,FEMENINO,01,14,11
2296,BOYACÁ,TUNJA (CT),BARRIO SAN FRANCISCO,48.0,MASCULINO,01,15,15
2297,BOYACÁ,TUNJA (CT),BARRIO JORDAN,32.0,FEMENINO,01,15,12
2524,BOYACÁ,TUNJA (CT),TERMINAL DE TRANSPORTES,23.0,MASCULINO,01,16,19
2705,BOYACÁ,TUNJA (CT),PLAZA MERCADO DEL NORTE,55.0,MASCULINO,01,17,13
2706,BOYACÁ,TUNJA (CT),BARRIO EL TOPO,28.0,MASCULINO,01,17,15
2847,BOYACÁ,TUNJA (CT),CENTRO,57.0,FEMENINO,01,18,12
2848,BOYACÁ,TUNJA (CT),ESTADIO LA INDEPENDENCIA,20.0,MASCULINO,01,18,19
2849,BOYACÁ,TUNJA (CT),BARRIO EL CARMEN,27.0,FEMENINO,01,18,18
3032,BOYACÁ,TUNJA (CT),VILLA UNIVERSITARIA,40.0,FEMENINO,01,19,10
3033,BOYACÁ,TUNJA (CT),BARRIO DOÑA EVA,35.0,MASCULINO,01,19,20
3034,BOYACÁ,TUNJA (CT),BARRIO MESOPOTAMIA,65.0,MASCULINO,01,19,18
3035,BOYACÁ,TUNJA (CT),BARRIO SAN CARLOS,28.0,FEMENINO,01,19,0
3206,BOYACÁ,TUNJA (CT),BARRIO SANTIAGO DE TUNJA,43.0,FEMENINO,01,20,12
3391,BOYACÁ,TUNJA (CT),BARRIO MESOPOTAMIA,22.0,MASCULINO,01,21,16
3392,BOYACÁ,TUNJA (CT),CENTRO,49.0,FEMENINO,01,21,19
3594,BOYACÁ,TUNJA (CT),CENTRO,28.0,MASCULINO,01,22,15
3595,BOYACÁ,TUNJA (CT),BARRIO EL TOPO,30.0,MASCULINO,01,22,13
3768,BOYACÁ,TUNJA (CT),CENTRO,19.0,FEMENINO,01,23,23
3769,BOYACÁ,TUNJA (CT),CENTRO,25.0,MASCULINO,01,23,4
3932,BOYACÁ,TUNJA (CT),BARRIO CONSUELO,20.0,MASCULINO,01,24,14
3933,BOYACÁ,TUNJA (CT),BARRIO SUAREZ RENDON,31.0,MASCULINO,01,24,11
4051,BOYACÁ,TUNJA (CT),CENTRO,39.0,FEMENINO,01,25,11
4052,BOYACÁ,TUNJA (CT),BARRIO LOS CRISTALES,55.0,FEMENINO,01,25,23
4053,BOYACÁ,TUNJA (CT),BARRIO MALDONADO,44.0,MASCULINO,01,25,17
4233,BOYACÁ,TUNJA (CT),CENTRO,65.0,FEMENINO,01,26,8
4234,BOYACÁ,TUNJA (CT),BARRIO LA NIEVES,24.0,MASCULINO,01,26,0
4614,BOYACÁ,TUNJA (CT),CENTRO,31.0,FEMENINO,01,28,16
4615,BOYACÁ,TUNJA (CT),BARRIO MALDONADO,36.0,FEMENINO,01,28,12
4616,BOYACÁ,TUNJA (CT),GLORIETA NORTE,29.0,FEMENINO,01,28,22
4832,BOYACÁ,TUNJA (CT),CENTRO,35.0,FEMENINO,01,29,15
4833,BOYACÁ,TUNJA (CT),BARRIO LA NIEVES,31.0,MASCULINO,01,29,12
4834,BOYACÁ,TUNJA (CT),CENTRO,34.0,MASCULINO,01,29,17
4835,BOYACÁ,TUNJA (CT),BARRIO SANTA CATALINA,33.0,FEMENINO,01,29,15
4836,BOYACÁ,TUNJA (CT),CENTRO,38.0,FEMENINO,01,29,18
4837,BOYACÁ,TUNJA (CT),CENTRO,26.0,FEMENINO,01,29,18
5060,BOYACÁ,TUNJA (CT),BARRIO SANTA RITA,60.0,MASCULINO,01,30,13
5232,BOYACÁ,TUNJA (CT),VDA. RUNTA ARRIBA,54.0,MASCULINO,01,31,8
5233,BOYACÁ,TUNJA (CT),BARRIO SANTA ANA,28.0,FEMENINO,01,31,2
5588,BOYACÁ,TUNJA (CT),BARRIO EL BOSQUE,36.0,MASCULINO,02,02,15
5788,BOYACÁ,TUNJA (CT),BARRIO OBRERO,50.0,FEMENINO,02,03,18
6011,BOYACÁ,TUNJA (CT),BARRIO LOS ANDES,19.0,MASCULINO,02,04,12
