,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
28,CESAR,VALLEDUPAR (CT),NUEVO MILENIO,24.0,MASCULINO,01,01,16
232,CESAR,VALLEDUPAR (CT),CAÑAGUATE,36.0,FEMENINO,01,03,16
375,CESAR,VALLEDUPAR (CT),ALFONSO LOPEZ,38.0,FEMENINO,01,04,14
376,CESAR,VALLEDUPAR (CT),GAITAN,23.0,MASCULINO,01,04,16
377,CESAR,VALLEDUPAR (CT),SAN MARTIN,28.0,FEMENINO,01,04,17
564,CESAR,VALLEDUPAR (CT),URB.DON ALBERTO,29.0,MASCULINO,01,05,20
903,CESAR,VALLEDUPAR (CT),NUEVA ESPERANZA,20.0,FEMENINO,01,07,19
1102,CESAR,VALLEDUPAR (CT),EL CARMEN,30.0,FEMENINO,01,08,15
1103,CESAR,VALLEDUPAR (CT),EL PUPO,32.0,MASCULINO,01,08,17
1104,CESAR,VALLEDUPAR (CT),LOPERENA,37.0,FEMENINO,01,08,15
1105,CESAR,VALLEDUPAR (CT),VILLA MIRIAN,30.0,MASCULINO,01,08,14
1285,CESAR,VALLEDUPAR (CT),SAN MARTIN,36.0,FEMENINO,01,09,15
1286,CESAR,VALLEDUPAR (CT),FUNDADORES,29.0,MASCULINO,01,09,14
1287,CESAR,VALLEDUPAR (CT),12 DE OCTUBRE,42.0,FEMENINO,01,09,14
1288,CESAR,VALLEDUPAR (CT),FUNDADORES,30.0,MASCULINO,01,09,14
1289,CESAR,VALLEDUPAR (CT),DANGON,21.0,FEMENINO,01,09,9
1440,CESAR,VALLEDUPAR (CT),12 DE OCTUBRE,24.0,MASCULINO,01,10,6
1441,CESAR,VALLEDUPAR (CT),LA GRANJA,35.0,MASCULINO,01,10,10
1442,CESAR,VALLEDUPAR (CT),SAN MARTIN,18.0,FEMENINO,01,10,9
1443,CESAR,VALLEDUPAR (CT),NOVALITO,45.0,MASCULINO,01,10,20
1582,CESAR,VALLEDUPAR (CT),BALNEARIO HURTADO,34.0,FEMENINO,01,11,9
1583,CESAR,VALLEDUPAR (CT),VILLA MAGDALA,49.0,MASCULINO,01,11,8
1584,CESAR,VALLEDUPAR (CT),DIVINO NIÑO,30.0,FEMENINO,01,11,13
1719,CESAR,VALLEDUPAR (CT),CENTRO,32.0,MASCULINO,01,12,18
1720,CESAR,VALLEDUPAR (CT),MANANTIAL,30.0,FEMENINO,01,12,18
1721,CESAR,VALLEDUPAR (CT),OBRERO,18.0,MASCULINO,01,12,12
1722,CESAR,VALLEDUPAR (CT),RIO GUATAPURI,30.0,MASCULINO,01,12,13
1922,CESAR,VALLEDUPAR (CT),U.P.C DE SABANAS,25.0,MASCULINO,01,13,16
1923,CESAR,VALLEDUPAR (CT),OBRERO,30.0,MASCULINO,01,13,7
1924,CESAR,VALLEDUPAR (CT),LA GRANJA,18.0,MASCULINO,01,13,22
2113,CESAR,VALLEDUPAR (CT),LOS CORTIJOS,27.0,FEMENINO,01,14,10
2114,CESAR,VALLEDUPAR (CT),LOS CORTIJOS,30.0,FEMENINO,01,14,10
2115,CESAR,VALLEDUPAR (CT),SABANAS DEL VALLE,43.0,MASCULINO,01,14,9
2116,CESAR,VALLEDUPAR (CT),EL PUPO,26.0,MASCULINO,01,14,20
2117,CESAR,VALLEDUPAR (CT),URB.VILLA DARIANA,45.0,FEMENINO,01,14,6
2118,CESAR,VALLEDUPAR (CT),GARUPAL I,29.0,MASCULINO,01,14,10
2119,CESAR,VALLEDUPAR (CT),CENTRO,55.0,MASCULINO,01,14,11
2120,CESAR,VALLEDUPAR (CT),CENTRO,45.0,MASCULINO,01,14,9
2311,CESAR,VALLEDUPAR (CT),EL AMPARO,38.0,MASCULINO,01,15,12
2533,CESAR,VALLEDUPAR (CT),LOS CORTIJOS,26.0,FEMENINO,01,16,2
2534,CESAR,VALLEDUPAR (CT),CONJ.CERRADO LOS CORALES,23.0,MASCULINO,01,16,11
2717,CESAR,VALLEDUPAR (CT),CENTRO,49.0,MASCULINO,01,17,8
