,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
63,META,VILLAVICENCIO (CT),SAN MARCOS,26.0,FEMENINO,01,01,20
64,META,VILLAVICENCIO (CT),LAS DELICIAS,32.0,MASCULINO,01,01,3
171,META,VILLAVICENCIO (CT),VEREDA APIAY,27.0,MASCULINO,01,02,19
280,META,VILLAVICENCIO (CT),VILLA JULIA,30.0,MASCULINO,01,03,14
281,META,VILLAVICENCIO (CT),MAIZARO,20.0,MASCULINO,01,03,20
282,META,VILLAVICENCIO (CT),LA ESPERANZA,41.0,MASCULINO,01,03,22
283,META,VILLAVICENCIO (CT),VILLA JULIA,36.0,MASCULINO,01,03,13
284,META,VILLAVICENCIO (CT),VILLA JULIA,24.0,MASCULINO,01,03,13
285,META,VILLAVICENCIO (CT),VILLA JULIA,33.0,MASCULINO,01,03,20
450,META,VILLAVICENCIO (CT),CENTRO,23.0,MASCULINO,01,04,9
451,META,VILLAVICENCIO (CT),CENTRO,38.0,MASCULINO,01,04,17
452,META,VILLAVICENCIO (CT),BOSQUES DE ABAJAM*,31.0,MASCULINO,01,04,2
453,META,VILLAVICENCIO (CT),VILLA ORTIZ I,22.0,MASCULINO,01,04,10
454,META,VILLAVICENCIO (CT),BARZAL SUR,40.0,FEMENINO,01,04,19
455,META,VILLAVICENCIO (CT),LLANABASTOS,18.0,FEMENINO,01,04,12
456,META,VILLAVICENCIO (CT),INDUSTRIAL,15.0,MASCULINO,01,04,16
611,META,VILLAVICENCIO (CT),PORVENIR,44.0,MASCULINO,01,05,16
612,META,VILLAVICENCIO (CT),ARIGUANI,18.0,FEMENINO,01,05,12
613,META,VILLAVICENCIO (CT),VEREDA LAS MERCEDES,48.0,MASCULINO,01,05,23
614,META,VILLAVICENCIO (CT),VILLA JULIA,58.0,MASCULINO,01,05,18
615,META,VILLAVICENCIO (CT),INDUSTRIAL,46.0,MASCULINO,01,05,8
616,META,VILLAVICENCIO (CT),PORVENIR,28.0,MASCULINO,01,05,21
790,META,VILLAVICENCIO (CT),BARZAL ALTO,23.0,MASCULINO,01,06,15
791,META,VILLAVICENCIO (CT),SANTA HELENA II,19.0,MASCULINO,01,06,12
792,META,VILLAVICENCIO (CT),BARZAL ALTO,67.0,MASCULINO,01,06,20
793,META,VILLAVICENCIO (CT),VEREDA EL AMOR,27.0,FEMENINO,01,06,23
794,META,VILLAVICENCIO (CT),CAUDAL OCCIDENTAL,27.0,MASCULINO,01,06,13
795,META,VILLAVICENCIO (CT),CENTRO,19.0,MASCULINO,01,06,11
978,META,VILLAVICENCIO (CT),7 DE AGOSTO,51.0,FEMENINO,01,07,10
979,META,VILLAVICENCIO (CT),ESTERO,45.0,MASCULINO,01,07,11
980,META,VILLAVICENCIO (CT),BARZAL BAJO,40.0,FEMENINO,01,07,19
981,META,VILLAVICENCIO (CT),7 DE AGOSTO,31.0,MASCULINO,01,07,0
1180,META,VILLAVICENCIO (CT),KIRPA,34.0,FEMENINO,01,08,14
1181,META,VILLAVICENCIO (CT),EL EMPORIO,43.0,MASCULINO,01,08,11
1182,META,VILLAVICENCIO (CT),NUEVO MAIZARO,23.0,MASCULINO,01,08,18
1183,META,VILLAVICENCIO (CT),PORVENIR,44.0,MASCULINO,01,08,17
1184,META,VILLAVICENCIO (CT),NUEVO MAIZARO,28.0,MASCULINO,01,08,21
1185,META,VILLAVICENCIO (CT),VILLA CODEM,37.0,MASCULINO,01,08,1
1186,META,VILLAVICENCIO (CT),VEREDA LA ARGENTINA,36.0,MASCULINO,01,08,20
1187,META,VILLAVICENCIO (CT),ROSALES,40.0,MASCULINO,01,08,7
1188,META,VILLAVICENCIO (CT),LA ESPERANZA,28.0,MASCULINO,01,08,23
1189,META,VILLAVICENCIO (CT),JORDAN,25.0,MASCULINO,01,08,14
1190,META,VILLAVICENCIO (CT),REMANSOS DE ROSA BLANCA,22.0,MASCULINO,01,08,23
1191,META,VILLAVICENCIO (CT),CENTRO,32.0,FEMENINO,01,08,11
1349,META,VILLAVICENCIO (CT),HIERBABUENA,31.0,FEMENINO,01,09,16
1350,META,VILLAVICENCIO (CT),INDUSTRIAL,18.0,MASCULINO,01,09,16
1351,META,VILLAVICENCIO (CT),KIRPA,34.0,MASCULINO,01,09,16
1352,META,VILLAVICENCIO (CT),EL PRADO,45.0,MASCULINO,01,09,13
1353,META,VILLAVICENCIO (CT),CENTRO,18.0,FEMENINO,01,09,7
1492,META,VILLAVICENCIO (CT),COMUNEROS,18.0,MASCULINO,01,10,15
1493,META,VILLAVICENCIO (CT),SAN JOSE,43.0,MASCULINO,01,10,13
1494,META,VILLAVICENCIO (CT),CENTRO,35.0,FEMENINO,01,10,8
1495,META,VILLAVICENCIO (CT),VEREDA APIAY,55.0,MASCULINO,01,10,1
1496,META,VILLAVICENCIO (CT),BARZAL BAJO,27.0,MASCULINO,01,10,2
1628,META,VILLAVICENCIO (CT),CENTRO,35.0,MASCULINO,01,11,10
1629,META,VILLAVICENCIO (CT),SANTA FE,30.0,MASCULINO,01,11,10
1630,META,VILLAVICENCIO (CT),MORICHAL,50.0,MASCULINO,01,11,11
1631,META,VILLAVICENCIO (CT),LA ESPERANZA,46.0,MASCULINO,01,11,21
1632,META,VILLAVICENCIO (CT),VEREDA APIAY,57.0,FEMENINO,01,11,21
1633,META,VILLAVICENCIO (CT),LA CASTILLA,14.0,MASCULINO,01,11,15
1788,META,VILLAVICENCIO (CT),SAN BENITO,18.0,FEMENINO,01,12,9
1789,META,VILLAVICENCIO (CT),EL RETIRO,40.0,MASCULINO,01,12,21
1790,META,VILLAVICENCIO (CT),NUEVO MAIZARO,40.0,FEMENINO,01,12,7
1791,META,VILLAVICENCIO (CT),BARZAL ALTO,35.0,MASCULINO,01,12,8
1792,META,VILLAVICENCIO (CT),SAN CARLOS,44.0,FEMENINO,01,12,20
1992,META,VILLAVICENCIO (CT),LAS AMERICAS,16.0,MASCULINO,01,13,16
1993,META,VILLAVICENCIO (CT),CAMOA,63.0,MASCULINO,01,13,13
1994,META,VILLAVICENCIO (CT),CENTRO,22.0,MASCULINO,01,13,14
1995,META,VILLAVICENCIO (CT),SAN MARCOS,53.0,MASCULINO,01,13,13
1996,META,VILLAVICENCIO (CT),SAN ISIDRO,61.0,MASCULINO,01,13,17
1997,META,VILLAVICENCIO (CT),BARZAL ALTO,33.0,MASCULINO,01,13,8
1998,META,VILLAVICENCIO (CT),7 DE AGOSTO,50.0,MASCULINO,01,13,0
1999,META,VILLAVICENCIO (CT),20 DE JULIO,22.0,MASCULINO,01,13,1
2179,META,VILLAVICENCIO (CT),AGUAS CLARAS,35.0,MASCULINO,01,14,11
